FirstName,Surname,PositionsList,Team,Cost,PointsLastRound,TotalPoints,AveragePoints,AveragePointsPerDollar,TotalPointsPerDollar,GameweekWeighting,TransfersOut,YellowCards,GoalsConceded,GoalsConcededPoints,Saves,SavesPoints,GoalsScored,GoalsScoredPoints,ValueSeason,TransfersOutRound,PriceRise,PriceFallRound,LastSeasonPoints,PriceFall,ValueForm,PenaltiesMissed,Form,Bonus,FanRating,CleanSheets,CleanSheetPoints,Assists,SelectedByPercent,TransfersIn,OwnGoals,EAIndex,PenaltiesSaved,DreamteamCount,MinutesPlayed,TransfersInRound,PriceRiseRound,RedCards,BPS,NextFixture1,NextFixture2,NextFixture3,NextFixture4,NextFixture5,GW14Forecast,GW15Forecast,GW16Forecast,GW17Forecast,GW18Forecast,GW19Forecast,GW20Forecast,GW21Forecast,GW22Forecast,GW23Forecast,GW24Forecast,GW25Forecast,GW26Forecast,GW27Forecast,GW28Forecast,GW29Forecast,GW30Forecast,GW31Forecast,GW32Forecast,GW33Forecast,GW34Forecast,GW35Forecast,GW36Forecast,GW37Forecast,GW38Forecast,ICTIndex
Ashley,Fletcher,FWD,WAT,4900000,0,3,0.230769230769231,4.70957613814757E-08,6.12244897959184E-07,0,31960,0,0,0,0,0,0,0,0.6,331,-1,0,3,1,0.1,0,0.5,0,0,0,0,0,0.2,25567,0,-1,0,0,28,349,0,0,5,Chelsea,Man City,Brentford F.C.,Burnley,Crystal Palace,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,3
Phil,Foden,MID,MCI,8100000,0,41,3.15384615384615,3.89363722697056E-07,5.06172839506173E-06,0,1010664,0,5,0,0,0,3,0,5.1,51155,1,1,41,-1,0.1,0,1,3,0,3,0,2,7.3,1460149,0,-1,0,1,611,3223,-1,0,133,Aston Villa,Watford,Wolverhampton,Leeds United F.C.,Newcastle,2.3,3.2,3.2,2.7,3.2,2.6,2.8,2.1,1.9,2.8,2.5,3,2.8,2.1,2.1,2.4,2.5,2.8,1.6,3.5,3.5,2.3,3.5,2.1,3.4,69.8
Wesley,Fofana,DEF,LEI,4300000,0,0,0,0,0,0,41868,0,0,0,0,0,0,0,0,90,-2,0,0,2,0,0,0,0,0,0,0,0,0.3,2244,0,-1,0,0,0,17,0,0,0,Southampton,Aston Villa,Newcastle,Tottenham,Everton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pablo,Fornals,MID,WHU,6000000,6,60,4.3,7.16666666666667E-07,1E-05,0,376686,3,16,0,0,0,4,0,10,3183,0,0,60,0,0.9,0,5.2,3,0,4,0,3,2.3,490618,0,-1,0,1,1197,9532,0,0,229,Brighton,Chelsea,Burnley,Arsenal,Norwich,4.1,3.2,4.4,3.5,5.6,5.3,5.1,3.9,4.3,4.5,5.4,4.3,5.4,5,2.6,5.3,3.7,4.5,4.4,5.1,4.1,4.9,4.7,3.3,4.2,90
Adam,Forshaw,MID,LEE,4500000,2,10,0.769230769230769,1.70940170940171E-07,2.22222222222222E-06,0,1994,2,3,0,0,0,0,0,2.2,51,0,0,10,0,0.4,0,2,0,0,2,0,0,0,3135,0,-1,0,0,379,236,0,0,51,Crystal Palace,Brentford F.C.,Chelsea,Man City,Arsenal,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,15.1
Marcus,Forss,FWD,BRE,5300000,0,6,1.2,2.26415094339623E-07,1.13207547169811E-06,0,23257,0,4,0,0,0,0,0,1.1,205,-2,0,6,2,0,0,0.2,0,0,0,0,0,0.1,16541,0,-1,0,0,171,216,0,0,17,Tottenham,Leeds United F.C.,Watford,Man Utd,Southampton,0.6,0.8,0.9,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.9,0.7,0.7,0.9,0.6,0.6,1,0.6,1,0.6,0.7,0.8,5.6
Fraser,Forster,GLK,SOU,4400000,0,0,0,0,0,0,58202,0,0,0,0,0,0,0,0,329,-1,0,0,1,0,0,0,0,0,0,0,0,0.7,20164,0,-1,0,0,0,257,0,0,0,Leicester,Brighton,Arsenal,Crystal Palace,Brentford F.C.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ben,Foster,GLK,WAT,4100000,0,28,3.5,8.53658536585366E-07,6.82926829268293E-06,0,928510,0,13,0,24,0,0,0,6.8,25228,1,0,28,-1,1,0,4,3,0,0,0,1,22.7,773213,0,-1,1,1,720,1713,0,0,148,Chelsea,Man City,Brentford F.C.,Burnley,Crystal Palace,0,0,0,0,0,0,0,0,2.6,4.1,3.9,4.2,2.9,4.4,4.9,2.7,4.5,4.6,4.6,4.1,4.2,3.9,2.8,3.1,4.8,22.4
,Fosu,MID,BRE,5100000,0,0,0,0,0,0,7890,0,0,0,0,0,0,0,0,70,-4,0,0,4,0,0,0,0,0,0,0,0,0,1864,0,-1,0,0,0,2,0,0,0,Tottenham,Leeds United F.C.,Watford,Man Utd,Southampton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ryan,Fraser,MID,NEW,5300000,1,19,1.46153846153846,2.75761973875181E-07,3.58490566037736E-06,0,10910,0,5,0,0,0,0,0,3.6,370,-2,0,19,2,0.3,0,1.8,0,0,0,0,2,0.1,7907,0,-1,0,0,317,201,0,0,70,Norwich,Burnley,Leicester,Liverpool,Man City,1.2,1,0.7,0.7,0.7,0.7,0.7,0.8,1.1,0.7,0.8,1.1,0.7,0.7,0.7,0.7,1,0.7,1,0.7,0.8,0.7,0.7,0.9,0.7,16.8
