FirstName,Surname,PositionsList,Team,Cost,PointsLastRound,TotalPoints,AveragePoints,AveragePointsPerDollar,TotalPointsPerDollar,GameweekWeighting,TransfersOut,YellowCards,GoalsConceded,GoalsConcededPoints,Saves,SavesPoints,GoalsScored,GoalsScoredPoints,ValueSeason,TransfersOutRound,PriceRise,PriceFallRound,LastSeasonPoints,PriceFall,ValueForm,PenaltiesMissed,Form,Bonus,FanRating,CleanSheets,CleanSheetPoints,Assists,SelectedByPercent,TransfersIn,OwnGoals,EAIndex,PenaltiesSaved,DreamteamCount,MinutesPlayed,TransfersInRound,PriceRiseRound,RedCards,BPS,NextFixture1,NextFixture2,NextFixture3,NextFixture4,NextFixture5,GW37Forecast,GW38Forecast,ICTIndex
Raheem,Sterling,MID,MCI,10500000,0,159,5.5,5.23809523809524E-07,1.51428571428571E-05,0,821300,1,16,0,0,0,13,0,15.1,3890,-5,0,159,5,0.5,1,5.5,15,0,13,0,6,2.6,769740,0,-1,0,5,2087,4222,0,0,451,West Ham,Aston Villa,,,,4.9,6.4,248.4
Finley,Stevens,DEF,BRE,3900000,0,1,0.0277777777777778,7.12250712250712E-09,2.56410256410256E-07,0,35810,0,0,0,0,0,0,0,0.3,172,-1,0,1,1,0,0,0,0,0,0,0,0,0.3,50077,0,-1,0,0,14,378,0,0,4,Everton,Leeds United F.C.,,,,0,0,2.1
Marco,Stiepermann,MID,NOR,5000000,0,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,Wolverhampton,Tottenham,,,,0,0,0
John,Stones,DEF,MCI,5200000,0,69,5.3,1.01923076923077E-06,1.32692307692308E-05,0,847608,0,4,0,0,0,1,0,13.3,912,-3,0,69,3,0.2,0,1,4,0,9,0,0,2.6,195883,0,-1,0,1,1027,22,0,0,277,West Ham,Aston Villa,,,,0,0,38
James,Storer,GLK,WOL,4000000,0,0,0,0,0,0,14909,0,0,0,0,0,0,0,0,82,0,0,0,0,0,0,0,0,0,0,0,0,0.2,22571,0,-1,0,0,0,153,0,0,0,Norwich,Liverpool,,,,0,0,0
Robert,Street,FWD,CRY,4500000,0,0,0,0,0,0,194042,0,0,0,0,0,0,0,0,198,0,0,0,0,0,0,0,0,0,0,0,0,0.8,230800,0,-1,0,0,0,0,0,0,0,Aston Villa,Everton,Man Utd,,,0,0,0
Pascal,Struijk,DEF,LEE,4300000,7,34,1.2,2.7906976744186E-07,7.90697674418605E-06,0,38479,6,52,0,0,0,1,0,7.9,140,-2,0,34,2,0.7,0,2.8,0,0,1,0,1,0.1,16252,0,-1,0,0,2031,502,0,1,336,Brighton,Brentford F.C.,,,,0.7,0.8,79.6
,Success,FWD,WAT,5000000,0,0,0,0,0,0,40827,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0.1,5401,0,-1,0,0,0,0,0,0,0,Leicester,Chelsea,,,,0,0,0
Crysencio,Summerville,MID,LEE,4500000,0,6,1,2.22222222222222E-07,1.33333333333333E-06,0,8063,0,1,0,0,0,0,0,1.3,13,0,0,6,0,0,0,0,0,0,0,0,0,0,8701,0,-1,0,0,126,14,0,0,20,Brighton,Brentford F.C.,,,,0,0,8.6
Zak,Swanson,DEF,ARS,4000000,0,0,0,0,0,0,466,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,783,0,-1,0,0,0,32,0,0,0,Newcastle,Everton,,,,0,0,0
Japhet,Tanganga,DEF,TOT,4200000,0,29,2.6,6.19047619047619E-07,6.9047619047619E-06,0,419381,2,11,0,0,0,0,0,6.9,140,-3,0,29,3,0,0,0,0,0,5,0,0,0.8,404721,0,-1,0,0,735,9,0,1,133,Burnley,Norwich,,,,0,0,27.5
Matt,Targett,DEF,NEW,4700000,8,98,3.1,6.59574468085106E-07,2.08510638297872E-05,0,884517,3,46,0,0,0,1,0,20.9,1066,-3,0,98,3,1,0,4.8,6,0,9,0,2,2.7,418291,1,-1,0,0,2781,7439,0,0,509,Arsenal,Burnley,,,,3.9,2.9,137.6
James,Tarkowski,DEF,BUR,4900000,0,81,2.5,5.10204081632653E-07,1.6530612244898E-05,0,311736,10,48,0,0,0,1,0,16.5,2576,-1,0,81,1,0.4,0,1.8,5,0,7,0,2,1.3,297137,1,-1,0,1,2926,29,0,0,467,Tottenham,Aston Villa,Newcastle,,,0,0,125.7
