FirstName,Surname,PositionsList,Team,Cost,PointsLastRound,TotalPoints,AveragePoints,AveragePointsPerDollar,TotalPointsPerDollar,GameweekWeighting,TransfersOut,YellowCards,GoalsConceded,GoalsConcededPoints,Saves,SavesPoints,GoalsScored,GoalsScoredPoints,ValueSeason,TransfersOutRound,PriceRise,PriceFallRound,LastSeasonPoints,PriceFall,ValueForm,PenaltiesMissed,Form,Bonus,FanRating,CleanSheets,CleanSheetPoints,Assists,SelectedByPercent,TransfersIn,OwnGoals,EAIndex,PenaltiesSaved,DreamteamCount,MinutesPlayed,TransfersInRound,PriceRiseRound,RedCards,BPS,NextFixture1,NextFixture2,NextFixture3,NextFixture4,NextFixture5,GW33Forecast,GW34Forecast,GW35Forecast,GW36Forecast,GW37Forecast,GW38Forecast,ICTIndex
,Lucas Moura,MID,TOT,6000000,1,78,2.7,4.5E-07,1.3E-05,0,948912,3,21,0,0,0,2,0,13,1714,-5,0,78,5,0.3,0,2,4,0,7,0,5,1.5,966435,0,-1,0,1,1587,334,0,0,287,Brighton,Brentford F.C.,Leicester,Liverpool,Arsenal,2.1,1.7,2.2,3.4,2.7,2.3,115
,Luis Diaz,MID,LIV,7900000,12,40,1.29032258064516,1.63331972233565E-07,5.06329113924051E-06,0,229426,0,1,0,0,0,3,0,5.1,5356,-1,0,40,1,0.5,0,4.3,3,0,5,0,1,2.5,452846,0,-1,0,0,586,34937,0,0,136,Man Utd,Everton,Newcastle,Tottenham,Aston Villa,0.6,0.7,0.6,1.2,0,0.7,67.3
Romelu,Lukaku,FWD,CHE,11400000,1,65,3.1,2.71929824561404E-07,5.70175438596491E-06,0,4423051,0,12,0,0,0,5,0,5.7,3008,-1,0,65,1,0.1,0,0.7,9,0,6,0,1,7.5,4008686,0,-1,0,1,1292,514,0,0,220,Arsenal,West Ham,Man Utd,Everton,Wolverhampton,2.7,6.3,3.2,6,3.4,3.4,98.1
,Lyanco,DEF,SOU,4400000,7,17,0.548387096774194,1.24633431085044E-07,3.86363636363636E-06,0,2351,2,12,0,0,0,0,0,3.9,16,-1,0,17,1,0.4,0,1.8,1,0,1,0,0,0,1994,0,-1,0,0,636,68,0,0,101,Arsenal,Burnley,Brighton,Crystal Palace,Brentford F.C.,0.6,0.3,0.3,0.3,0,0.3,19.2
,M.Longstaff,MID,NEW,4500000,0,0,0,0,0,0,9542,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1349,0,-1,0,0,0,0,0,0,0,Leicester,Crystal Palace,Norwich,Liverpool,Man City,0,0,0,0,0,0,0
Alexis,Mac Allister,MID,BHA,5100000,4,78,2.51612903225806,4.93358633776091E-07,1.52941176470588E-05,0,157574,4,25,0,0,0,4,0,15.3,862,-4,0,78,4,0.4,0,2.2,8,0,4,0,2,0.5,162237,0,-1,0,1,1686,412,0,0,323,Tottenham,Man City,Southampton,Wolverhampton,Man Utd,3,2,2.5,1.4,1.9,1.7,120
James,Maddison,MID,LEI,7000000,3,133,4.4,6.28571428571429E-07,1.9E-05,0,2444498,2,38,0,0,0,8,0,19,64099,0,0,133,0,0.5,0,3.8,16,0,3,0,8,17.4,3073753,0,-1,0,4,2013,16611,0,0,476,Newcastle,Everton,Aston Villa,Tottenham,Everton,7.8,5,3.5,10.8,9.1,5.4,177.9
Paris,Maghoma,MID,BRE,4500000,0,0,0,0,0,0,1907,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,2253,0,-1,0,0,0,8,0,0,0,Watford,Tottenham,Man Utd,Southampton,Everton,0,0,0,0,0,0,0
Harry,Maguire,DEF,MUN,5400000,1,66,2.4,4.44444444444444E-07,1.22222222222222E-05,0,1002062,7,42,0,0,0,1,0,12.2,5040,-1,0,66,1,0.2,0,1.2,4,0,7,0,0,4.7,377069,1,-1,0,0,2403,1987,0,1,438,Norwich,Liverpool,Arsenal,Chelsea,Brentford F.C.,5.1,4.7,2.6,2.6,0,1.6,92.3
Riyad,Mahrez,MID,MCI,8600000,14,129,4.16129032258065,4.83870967741936E-07,1.5E-05,0,1303176,0,11,0,0,0,11,0,15,6772,-4,0,129,4,0.6,0,5,12,0,7,0,6,3.9,963451,0,-1,0,3,1308,13297,0,0,453,Brighton,Watford,Leeds United F.C.,Newcastle,West Ham,3.9,4.9,3.9,5,3.1,4.3,187.7
Ainsley,Maitland-Niles,MID,ARS,5200000,0,12,1.5,2.88461538461538E-07,2.30769230769231E-06,0,9756,0,4,0,0,0,0,0,2.3,13,-3,0,12,3,0,0,0,0,0,2,0,0,0,4745,0,-1,0,0,263,0,0,0,44,Southampton,Chelsea,Man Utd,West Ham,Leeds United F.C.,0,0,0,0,0,0,9.3
Sadio,Mane,MID,LIV,11700000,13,161,5.6,4.78632478632479E-07,1.37606837606838E-05,0,976618,3,21,0,0,0,14,0,13.8,3464,-3,0,161,3,0.6,0,7,8,0,15,0,5,3.4,885515,0,-1,0,3,2420,24484,0,0,461,Man Utd,Everton,Newcastle,Tottenham,Aston Villa,5.9,7.1,6.1,12.8,0,7.1,267.7
Javier,Manquillo,DEF,NEW,3900000,0,38,1.2258064516129,3.14309346567411E-07,9.74358974358974E-06,0,1027635,5,27,0,0,0,1,0,9.7,3398,-1,0,38,1,0,0,0,0,0,1,0,3,4.9,698749,0,-1,0,0,1258,994,0,0,206,Leicester,Crystal Palace,Norwich,Liverpool,Man City,1.5,0.6,1.4,1,0.9,0.7,37.7
Fernando,Marcal,DEF,WOL,4200000,0,67,2.09375,4.98511904761905E-07,1.5952380952381E-05,0,931946,3,14,0,0,0,0,0,16,1081,-3,0,67,3,0.8,0,3.5,5,0,6,0,3,1.5,1017609,0,-1,0,1,1448,1760,0,0,295,Burnley,Brighton,Chelsea,Norwich,Liverpool,0,2,1.7,2.4,1.5,2.7,56.3
Solomon,March,MID,BHA,5300000,3,46,1.48387096774194,2.79975654290931E-07,8.67924528301887E-06,0,14155,1,22,0,0,0,0,0,8.7,63,-2,0,46,2,0.3,0,1.5,0,0,4,0,1,0.1,9112,0,-1,0,0,1408,43,0,0,181,Tottenham,Man City,Southampton,Wolverhampton,Man Utd,1.4,0.9,1.1,0.7,0.8,0.7,94.4
Pablo,Mari,DEF,ARS,4200000,0,1,0.5,1.19047619047619E-07,2.38095238095238E-07,0,15022,1,4,0,0,0,0,0,0.2,17,-3,0,1,3,0,0,0,0,0,0,0,0,0.1,5760,0,-1,0,0,180,0,0,0,35,Southampton,Chelsea,Man Utd,West Ham,Leeds United F.C.,0,0,0,0,0,0,7.9
Dilan,Markanday,MID,TOT,4500000,0,0,0,0,0,0,1550,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1479,0,-1,0,0,0,0,0,0,0,Brighton,Brentford F.C.,Leicester,Liverpool,Arsenal,0,0,0,0,0,0,0
Christian,Marques,DEF,WOL,4000000,0,0,0,0,0,0,29154,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0.2,24271,0,-1,0,0,0,0,0,0,0,Burnley,Brighton,Chelsea,Norwich,Liverpool,0,0,0,0,0,0,0
Filip,Marschall,GLK,AVL,4000000,0,0,0,0,0,0,717,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,933,0,-1,0,0,0,0,0,0,0,Leicester,Norwich,Burnley,Liverpool,Crystal Palace,0,0,0,0,0,0,0
Anthony,Martial,FWD,MUN,7600000,0,14,1.8,2.36842105263158E-07,1.84210526315789E-06,0,148807,0,3,0,0,0,1,0,1.8,79,-4,0,14,4,0,0,0,2,0,0,0,0,0.5,30481,0,-1,0,0,207,0,0,0,40,Norwich,Liverpool,Arsenal,Chelsea,Brentford F.C.,0,0,0,0,0,0,14.6
Josh,Martin,MID,NOR,5000000,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,Man Utd,Newcastle,Aston Villa,West Ham,Leicester,0,0,0,0,0,0,0
,Martinelli,MID,ARS,5300000,3,83,2.76666666666667,5.22012578616352E-07,1.56603773584906E-05,0,1005443,1,17,0,0,0,5,0,15.7,19520,-2,0,83,2,0.3,0,1.5,3,0,7,0,4,4.2,1365960,0,-1,0,1,1472,5758,0,1,251,Southampton,Chelsea,Man Utd,West Ham,Leeds United F.C.,3.8,2,1.5,4,2.1,2.5,131.9
Emiliano,Martinez,GLK,AVL,5500000,0,105,3.5,6.36363636363636E-07,1.90909090909091E-05,0,2323752,4,43,0,76,0,0,0,19.1,4421,0,0,105,0,0.2,0,1,7,0,9,0,0,11.3,674873,0,-1,1,2,2700,2871,0,0,537,Leicester,Norwich,Burnley,Liverpool,Crystal Palace,0,3.1,3.6,8.9,7.8,4.7,63.2
Adam,Masina,DEF,WAT,4300000,0,12,0.387096774193548,9.00225056264066E-08,2.7906976744186E-06,0,14126,0,20,0,0,0,0,0,2.8,16,-2,0,12,2,0,0,0,0,0,0,0,0,0.1,7284,0,-1,0,0,866,8,0,0,119,Brentford F.C.,Man City,Burnley,Crystal Palace,Everton,0.2,0.2,0.2,0.4,0.2,0.2,29.2
Arthur,Masuaku,DEF,WHU,4400000,0,27,0.84375,1.91761363636364E-07,6.13636363636364E-06,0,52371,1,11,0,0,0,1,0,6.1,85,-1,0,27,1,0,0,0,3,0,1,0,1,0.1,55127,0,-1,0,1,555,34,0,0,132,Burnley,Chelsea,Arsenal,Norwich,Man City,0.5,0.5,0.5,0.4,0.7,0.4,25.5
Juan,Mata,MID,MUN,4700000,1,2,0.0645161290322581,1.37268359643102E-08,4.25531914893617E-07,0,7339,0,0,0,0,0,0,0,0.4,42,-3,0,2,3,0.1,0,0.5,0,0,0,0,0,0.1,4425,0,-1,0,0,42,52,0,0,9,Norwich,Liverpool,Arsenal,Chelsea,Brentford F.C.,0,0,0,0,0,0,5.4
