FirstName,Surname,PositionsList,Team,Cost,PointsLastRound,TotalPoints,AveragePoints,AveragePointsPerDollar,TotalPointsPerDollar,GameweekWeighting,TransfersOut,YellowCards,GoalsConceded,GoalsConcededPoints,Saves,SavesPoints,GoalsScored,GoalsScoredPoints,ValueSeason,TransfersOutRound,PriceRise,PriceFallRound,LastSeasonPoints,PriceFall,ValueForm,PenaltiesMissed,Form,Bonus,FanRating,CleanSheets,CleanSheetPoints,Assists,SelectedByPercent,TransfersIn,OwnGoals,EAIndex,PenaltiesSaved,DreamteamCount,MinutesPlayed,TransfersInRound,PriceRiseRound,RedCards,BPS,NextFixture1,NextFixture2,NextFixture3,NextFixture4,NextFixture5,GW4Forecast,GW5Forecast,GW6Forecast,GW7Forecast,GW8Forecast,GW9Forecast,GW10Forecast,GW11Forecast,GW12Forecast,GW13Forecast,GW14Forecast,GW15Forecast,GW16Forecast,GW17Forecast,GW18Forecast,GW19Forecast,GW20Forecast,GW21Forecast,GW22Forecast,GW23Forecast,GW24Forecast,GW25Forecast,GW26Forecast,GW27Forecast,GW28Forecast,GW29Forecast,GW30Forecast,GW31Forecast,GW32Forecast,GW33Forecast,GW34Forecast,GW35Forecast,GW36Forecast,GW37Forecast,GW38Forecast,ICTIndex
Cesar,Azpilicueta,DEF,CHE,6000000,4,18,4.5,7.5E-07,3E-06,0,98987,0,1,0,0,0,0,0,3,12150,0,0,18,0,0.7,0,4,0,0,2,0,1,4,71157,0,-1,0,0,272,4583,0,0,79,Aston Villa,Tottenham,Man City,Southampton,Brentford F.C.,6.1,5.4,6.8,5.1,4.5,6.1,2.4,6.5,3,6,2.6,3.1,6.1,4.2,4.9,3.4,5.4,6,2.5,6.4,5.1,6.4,3.2,6.7,3.5,5.3,4.3,6.8,3.4,4.3,4.1,3.1,6,4.6,6.6,13.2
Kwadwo,Baah,MID,WAT,4500000,0,0,0,0,0,0,3473,0,0,0,0,0,0,0,0,376,0,0,0,0,0,0,0,0,0,0,0,0,0.1,2395,0,-1,0,0,0,452,0,0,0,Wolverhampton,Norwich,Newcastle,Leeds United F.C.,Liverpool,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Daniel,Bachmann,GLK,WAT,4500000,2,8,2,4.44444444444444E-07,1.77777777777778E-06,0,78918,0,7,0,12,0,0,0,1.8,7492,0,0,8,0,0.5,0,2.3,0,0,0,0,0,2.4,103543,0,-1,0,0,360,7330,0,0,60,Wolverhampton,Norwich,Newcastle,Leeds United F.C.,Liverpool,2.1,1,1.8,1,2.5,1,1.7,1,2.2,1,1.9,3,1,1,1.9,1,1.3,3,1,2.2,1,1.9,1,1,2.3,1,1.3,1.7,2.2,3,1,2.4,1,2.5,1,9
Leon,Bailey,MID,AVL,6400000,1,5,1.66666666666667,2.60416666666667E-07,7.8125E-07,0,171630,0,2,0,0,0,0,0,0.8,3544,-1,0,5,1,0,0,0.3,0,0,0,0,1,0.8,35013,0,-1,0,0,64,1621,0,0,18,Chelsea,Everton,Man Utd,Tottenham,Wolverhampton,0.8,1,0.8,0.8,1.3,0.8,0.8,0.8,0.8,0.8,2.5,1.8,0.8,0.8,2,1.1,0.8,0.8,0.8,0.8,1.2,0.8,2,0.8,1.3,0.8,1.2,0.8,0.8,0.8,0.8,1.4,0.8,1.1,0.8,7.4
Eric,Bailly,DEF,MUN,5000000,0,0,0,0,0,0,5541,0,0,0,0,0,0,0,0,454,0,0,0,0,0,0,0,0,0,0,0,0,0.1,1113,0,-1,0,0,0,132,0,0,0,Newcastle,West Ham,Aston Villa,Everton,Leicester,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ellery,Balcombe,GLK,BRE,4000000,0,0,0,0,0,0,384,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,Brighton,Wolverhampton,Liverpool,West Ham,Chelsea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Folarin,Balogun,FWD,ARS,5000000,0,2,1,2E-07,4E-07,0,35401,0,1,0,0,0,0,0,0.4,2991,0,0,2,0,0.1,0,0.3,0,0,0,0,0,0.4,32084,0,-1,0,0,69,1758,0,0,2,Norwich,Burnley,Tottenham,Brighton,Crystal Palace,0.9,0.5,0.5,0.5,0.5,0.6,0.5,1.2,0.5,1,0.5,0.5,0.5,0.5,0.7,0.8,0.5,1.5,0.5,0.9,0.5,0.5,0.5,0.5,0.5,0.6,0.5,0.5,0.5,0.5,0.5,0.5,0.9,0.6,0.5,1.9
Patrick,Bamford,FWD,LEE,7900000,2,16,4,5.06329113924051E-07,2.0253164556962E-06,0,720263,1,11,0,0,0,1,0,2,62425,-1,0,16,1,0.6,0,4.7,2,0,0,0,1,12.1,309888,0,-1,0,0,346,116901,0,0,48,Liverpool,Newcastle,West Ham,Watford,Southampton,2.4,4.3,4,6,3.6,3.8,4.7,5.5,2.5,3.5,4.1,4.7,2,2,5,2.7,5.1,6,3.4,6,3.1,4.1,4,3.1,2.5,5.9,3.1,4.8,4.1,3,2.5,6,4.3,3.5,2,31.2
Scott,Banks,MID,CRY,4500000,0,0,0,0,0,0,802,0,0,0,0,0,0,0,0,169,0,0,0,0,0,0,0,0,0,0,0,0,0,1788,0,-1,0,0,0,440,0,0,0,Tottenham,Liverpool,Brighton,Leicester,Arsenal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jamal,Baptiste,DEF,WHU,4000000,0,0,0,0,0,0,5435,0,0,0,0,0,0,0,0,943,0,0,0,0,0,0,0,0,0,0,0,0,0.2,13730,0,-1,0,0,0,1327,0,0,0,Southampton,Man Utd,Leeds United F.C.,Brentford F.C.,Everton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Shandon,Baptiste,MID,BRE,5000000,3,4,1.33333333333333,2.66666666666667E-07,8E-07,0,2037,0,0,0,0,0,0,0,0.8,113,0,0,4,0,0.3,0,1.3,0,0,1,0,0,0,747,0,-1,0,0,75,183,0,0,7,Brighton,Wolverhampton,Liverpool,West Ham,Chelsea,0.7,0.7,0.7,0.7,0.8,1.3,0.7,1,0.7,0.7,0.7,0.7,1.6,0.7,0.7,0.7,2,1,0.7,1,0.7,0.8,0.7,1.3,0.7,1.5,0.7,0.7,0.7,0.7,0.7,0.7,0.9,0.7,0.9,0.5
Phil,Bardsley,DEF,BUR,4000000,0,0,0,0,0,0,21608,0,0,0,0,0,0,0,0,1778,0,0,0,0,0,0,0,0,0,0,0,0,0.8,13518,0,-1,0,0,0,958,0,0,0,Everton,Arsenal,Leicester,Norwich,Man City,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ross,Barkley,MID,CHE,5400000,0,0,0,0,0,0,6392,0,0,0,0,0,0,0,0,456,-1,0,0,1,0,0,0,0,0,0,0,0,0.1,1613,0,-1,0,0,0,161,0,0,0,Aston Villa,Tottenham,Man City,Southampton,Brentford F.C.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
