FirstName,Surname,PositionsList,Team,Cost,PointsLastRound,TotalPoints,AveragePoints,AveragePointsPerDollar,TotalPointsPerDollar,GameweekWeighting,TransfersOut,YellowCards,GoalsConceded,GoalsConcededPoints,Saves,SavesPoints,GoalsScored,GoalsScoredPoints,ValueSeason,TransfersOutRound,PriceRise,PriceFallRound,LastSeasonPoints,PriceFall,ValueForm,PenaltiesMissed,Form,Bonus,FanRating,CleanSheets,CleanSheetPoints,Assists,SelectedByPercent,TransfersIn,OwnGoals,EAIndex,PenaltiesSaved,DreamteamCount,MinutesPlayed,TransfersInRound,PriceRiseRound,RedCards,BPS,NextFixture1,NextFixture2,NextFixture3,NextFixture4,NextFixture5,GW3Forecast,GW4Forecast,GW5Forecast,GW6Forecast,GW7Forecast,GW8Forecast,GW9Forecast,GW10Forecast,GW11Forecast,GW12Forecast,GW13Forecast,GW14Forecast,GW15Forecast,GW16Forecast,GW17Forecast,GW18Forecast,GW19Forecast,GW20Forecast,GW21Forecast,GW22Forecast,GW23Forecast,GW24Forecast,GW25Forecast,GW26Forecast,GW27Forecast,GW28Forecast,GW29Forecast,GW30Forecast,GW31Forecast,GW32Forecast,GW33Forecast,GW34Forecast,GW35Forecast,GW36Forecast,GW37Forecast,GW38Forecast,ICTIndex
Charlie,Austin,FWD,WBA,5400000,0,0,0,0,0,0,40933,0,0,0,0,0,0,0,0,2855,-1,0,0,1,0,0,0,0,0,0,0,0,0.4,5573,0,-1,0,0,0,239,0,0,0,Chelsea,Southampton,Burnley,Brighton,Fulham,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jordan,Ayew,FWD,CRY,5900000,2,9,3,5.08474576271186E-07,1.52542372881356E-06,0,182610,0,3,0,0,0,0,0,1.5,20396,-1,0,9,1,0.5,0,3,0,0,1,0,1,4.5,49696,0,-1,0,0,251,3499,0,0,9,Everton,Chelsea,Brighton,Fulham,Wolverhampton,1.8,4.3,2.1,4.3,3.8,2.9,2.3,1.7,3.7,2.7,2.4,2.1,1.5,1.8,3.5,2.3,2.3,2.1,1.8,4.5,1.8,3.4,4.1,3.8,4.5,3.6,3.7,1.9,2.2,1.7,2.1,3.3,2.7,1.8,2,2.7,8.8
Luke,Ayling,DEF,LEE,4500000,7,8,2.7,6E-07,1.77777777777778E-06,0,83214,0,7,0,0,0,0,0,1.8,6040,0,0,8,0,0.6,0,2.7,1,0,1,0,0,3.8,77571,0,-1,0,0,270,4570,0,0,55,Sheffield United,Man City,Wolverhampton,Aston Villa,Leicester,2.6,2.7,1.7,3.2,1.4,2.1,1.5,1.4,3.7,1.9,1.4,2.5,2,2.3,2.9,1.9,1.4,4.1,1.6,1.4,3.1,2,3.8,3.8,2.4,1.6,2.5,3,2,3.2,3.1,2.7,1.4,1.4,1.4,1.9,10.6
Cesar,Azpilicueta,DEF,CHE,5900000,4,5,2.5,4.23728813559322E-07,8.47457627118644E-07,0,210434,0,0,0,0,0,0,0,0.8,9891,-1,0,5,1,0.3,0,1.7,0,0,0,0,1,4.7,16520,0,-1,0,0,50,1463,0,0,21,West Brom,Crystal Palace,Southampton,Man Utd,Burnley,2.9,1.2,1.2,3.1,2,1.2,3.8,1.2,1.2,1.5,3.8,1.2,2.7,1.6,1.2,2.2,3.1,1.2,1.2,3.4,3.2,1.2,1.5,1.2,1.2,1.6,3.8,1.2,2.7,1.2,3,1.2,2.7,1.2,1.2,3.6,5.7
Eric,Bailly,DEF,MUN,5000000,1,1,1,2E-07,2E-07,0,6645,0,1,0,0,0,0,0,0.2,833,0,0,1,0,0.1,0,0.5,0,0,0,0,0,0.3,4999,0,-1,0,0,8,377,0,0,3,Brighton,Tottenham,Newcastle,Chelsea,Arsenal,0.6,0.5,1.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.9,0.5,1,0.6,0.5,0.5,0.5,0.5,0.5,0.9,0.5,0.5,0.5,0.5,0.6,0.5,0.5,0.7,0.7,0.5,0.5,0.9,0.1
Fabian,Balbuena,DEF,WHU,4400000,6,6,3,6.81818181818182E-07,1.36363636363636E-06,0,4032,0,0,0,0,0,0,0,1.4,209,-1,0,6,1,0.5,0,2,0,0,1,0,0,0.1,977,0,-1,0,0,90,318,0,0,26,Wolverhampton,Leicester,Tottenham,Man City,Liverpool,1.5,2.5,4,2.3,4.5,1.5,3.7,3.6,2.8,1.8,2.8,4.5,1.5,1.6,1.7,1.5,1.6,3.1,2.9,4.2,3.6,2.7,1.5,3.1,1.5,3.6,1.5,4.5,1.5,4.5,1.5,2.3,1.5,3.8,3.3,1.5,1.5
George,Baldock,DEF,SHU,5500000,1,4,1.3,2.36363636363636E-07,7.27272727272727E-07,0,96614,1,4,0,0,0,0,0,0.7,11554,0,0,4,0,0.2,0,1.3,0,0,0,0,0,3.4,11591,0,-1,0,0,270,533,0,0,28,Leeds United F.C.,Arsenal,Fulham,Liverpool,Man City,0.6,0.7,0.6,1.6,0.8,1.4,0.6,0.7,0.6,0.6,1,0.9,0.6,0.6,0.7,0.6,0.6,0.8,0.7,0.6,0.6,0.8,0.8,1,0.6,0.6,1.3,0.6,0.6,1.5,0.6,1,1,0.6,2,0.6,11.1
Gareth,Bale,MID,TOT,9500000,0,0,0,0,0,0,6543,0,0,0,0,0,0,0,0,1772,0,0,0,0,0,0,0,0,0,0,0,0,0.2,15779,0,-1,0,0,0,2632,0,0,0,Newcastle,Man Utd,West Ham,Burnley,Brighton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Patrick,Bamford,FWD,LEE,5700000,8,29,9.7,1.70175438596491E-06,5.08771929824561E-06,0,214274,0,6,0,0,0,3,0,5.1,23367,2,0,29,-2,1.7,0,9.7,5,0,1,0,2,21.7,1215908,0,-1,0,0,220,117217,0,0,102,Sheffield United,Man City,Wolverhampton,Aston Villa,Leicester,12.3,13.9,10.7,8.5,10.9,11.2,11.6,12.3,14.6,11.9,10.3,11.8,13.9,13.7,14.6,14.6,11,14.6,12.8,10.9,14.6,13.4,14.6,10.9,13.7,11,14.6,13.5,11.8,11.9,13.9,14.6,11.1,11.8,11.1,12.4,24.2
Phil,Bardsley,DEF,BUR,4500000,1,0,0,0,0,0,11190,2,5,0,0,0,0,0,0,1070,0,0,0,0,0,0,0,0,0,0,0,0,0.5,7746,0,-1,0,0,180,320,0,0,14,Southampton,Newcastle,West Brom,Tottenham,Chelsea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.3
