FirstName,Surname,PositionsList,Team,Cost,PointsLastRound,TotalPoints,AveragePoints,AveragePointsPerDollar,TotalPointsPerDollar,GameweekWeighting,TransfersOut,YellowCards,GoalsConceded,GoalsConcededPoints,Saves,SavesPoints,GoalsScored,GoalsScoredPoints,ValueSeason,TransfersOutRound,PriceRise,PriceFallRound,LastSeasonPoints,PriceFall,ValueForm,PenaltiesMissed,Form,Bonus,FanRating,CleanSheets,CleanSheetPoints,Assists,SelectedByPercent,TransfersIn,OwnGoals,EAIndex,PenaltiesSaved,DreamteamCount,MinutesPlayed,TransfersInRound,PriceRiseRound,RedCards,BPS,NextFixture1,NextFixture2,NextFixture3,NextFixture4,NextFixture5,GW2Forecast,GW3Forecast,GW4Forecast,GW5Forecast,GW6Forecast,GW7Forecast,GW8Forecast,GW9Forecast,GW10Forecast,GW11Forecast,GW12Forecast,GW13Forecast,GW14Forecast,GW15Forecast,GW16Forecast,GW17Forecast,GW18Forecast,GW19Forecast,GW20Forecast,GW21Forecast,GW22Forecast,GW23Forecast,GW24Forecast,GW25Forecast,GW26Forecast,GW27Forecast,GW28Forecast,GW29Forecast,GW30Forecast,GW31Forecast,GW32Forecast,GW33Forecast,GW34Forecast,GW35Forecast,GW36Forecast,GW37Forecast,GW38Forecast,ICTIndex
Charlie,Austin,FWD,WBA,5500000,0,0,0,0,0,0,20383,0,0,0,0,0,0,0,0,2115,0,0,0,0,0,0,0,0,0,0,0,0,0.7,3549,0,-1,0,0,0,86,0,0,0,Everton,Chelsea,Southampton,Burnley,Brighton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jordan,Ayew,FWD,CRY,6000000,0,2,2,3.33333333333333E-07,3.33333333333333E-07,0,87218,0,0,0,0,0,0,0,0.3,6438,0,0,2,0,0.2,0,1,0,0,1,0,0,5.6,23741,0,-1,0,0,90,994,0,0,-7,Man Utd,Everton,Chelsea,Brighton,Fulham,2.5,1,1,2.5,1.8,1,2.1,2.5,1.1,2.5,2.1,2.5,1.8,2.5,1,2.8,1,2.5,2.8,1,1,1.7,2.8,2.2,2.2,1.7,2.8,2.8,1,1.2,1.9,1,2.8,2.5,2.8,1,1.4,2.9
Luke,Ayling,DEF,LEE,4500000,1,1,0.5,1.11111111111111E-07,2.22222222222222E-07,0,30517,0,7,0,0,0,0,0,0.2,1874,0,0,1,0,0.1,0,0.5,0,0,0,0,0,4.3,52471,0,-1,0,0,180,1841,0,0,26,Fulham,Sheffield United,Man City,Wolverhampton,Aston Villa,0.2,0.2,0.7,0.2,0.6,0.2,0.3,0.2,0.2,0.2,0.3,0.2,0.6,0.7,0.2,0.3,0.2,0.3,0.2,0.2,0.2,0.4,0.2,0.2,0.7,0.2,0.2,0.2,0.2,0.6,0.6,0.7,0.2,0.4,0.6,0.2,0.2,4
Cesar,Azpilicueta,DEF,CHE,6000000,0,1,1,1.66666666666667E-07,1.66666666666667E-07,0,103442,0,0,0,0,0,0,0,0.2,2477,0,0,1,0,0.1,0,0.5,0,0,0,0,0,6.3,7864,0,-1,0,0,5,550,0,0,3,Liverpool,West Brom,Crystal Palace,Southampton,Man Utd,1.4,0.6,1.1,0.7,1.2,1.2,0.8,0.5,1.1,0.5,0.5,0.5,0.9,0.5,1.4,1.4,0.5,0.5,0.5,1.4,0.9,0.6,0.5,0.5,1.4,0.5,0.5,1.2,0.8,0.9,0.9,0.7,0.5,1.2,0.5,0.5,1.2,0.3
Eric,Bailly,DEF,MUN,5000000,0,0,0,0,0,0,1944,0,0,0,0,0,0,0,0,127,0,0,0,0,0,0,0,0,0,0,0,0,0.3,1504,0,-1,0,0,0,119,0,0,0,Crystal Palace,Brighton,Tottenham,Newcastle,Chelsea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fabian,Balbuena,DEF,WHU,4500000,0,0,0,0,0,0,2125,0,0,0,0,0,0,0,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0.2,337,0,-1,0,0,0,21,0,0,0,Arsenal,Wolverhampton,Leicester,Tottenham,Man City,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
George,Baldock,DEF,SHU,5500000,0,1,1,1.81818181818182E-07,1.81818181818182E-07,0,42806,0,2,0,0,0,0,0,0.2,1817,0,0,1,0,0.1,0,0.5,0,0,0,0,0,4.3,6152,0,-1,0,0,90,178,0,0,13,Aston Villa,Leeds United F.C.,Arsenal,Fulham,Liverpool,1.2,0.5,0.5,0.5,1.2,1.4,0.5,0.9,0.6,0.5,0.5,1.4,0.7,0.5,1.2,0.9,0.5,1.1,1.2,1.2,0.8,0.7,0.7,0.5,1.4,0.7,0.5,1.4,0.5,0.5,0.5,0.9,0.9,1.1,0.5,0.5,1.4,4.3
Patrick,Bamford,FWD,LEE,5600000,12,19,9.5,1.69642857142857E-06,3.39285714285714E-06,0,69555,0,6,0,0,0,2,0,3.4,4780,1,0,19,-1,1.7,0,9.5,1,0,0,0,2,11.8,467689,0,-1,0,1,130,37969,0,0,73,Fulham,Sheffield United,Man City,Wolverhampton,Aston Villa,13.5,11.8,13.5,11.1,11.8,11.9,10.9,10.7,8.4,10.9,13.5,12.4,11.8,13.5,11.8,11.8,13.5,13.5,10.6,10,10.3,12.7,8.8,9.2,13.5,11.8,12.7,11.8,13.5,11.8,13.5,13.5,11.8,13.5,11.8,11.8,13.5,6.8
Phil,Bardsley,DEF,BUR,4500000,0,0,0,0,0,0,4373,0,0,0,0,0,0,0,0,143,0,0,0,0,0,0,0,0,0,0,0,0,0.6,3612,0,-1,0,0,0,197,0,0,0,Leicester,Southampton,Newcastle,West Brom,Tottenham,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ross,Barkley,MID,CHE,6000000,0,1,1,1.66666666666667E-07,1.66666666666667E-07,0,3814,0,0,0,0,0,0,0,0.2,183,0,0,1,0,0.1,0,0.5,0,0,0,0,0,0.3,1617,0,-1,0,0,29,77,0,0,1,Liverpool,West Brom,Crystal Palace,Southampton,Man Utd,0.5,0.5,0.5,0.7,1.2,1.2,0.8,0.5,0.7,0.5,0.5,0.5,0.6,0.5,1.4,1.4,0.5,0.5,0.5,1.4,0.5,0.6,0.5,0.5,1.4,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1.2,0.5,0.5,1.2,2.3
