FirstName,Surname,PositionsList,Team,Cost,PointsLastRound,TotalPoints,AveragePoints,AveragePointsPerDollar,TotalPointsPerDollar,GameweekWeighting,TransfersOut,YellowCards,GoalsConceded,GoalsConcededPoints,Saves,SavesPoints,GoalsScored,GoalsScoredPoints,ValueSeason,TransfersOutRound,PriceRise,PriceFallRound,LastSeasonPoints,PriceFall,ValueForm,PenaltiesMissed,Form,Bonus,FanRating,CleanSheets,CleanSheetPoints,Assists,SelectedByPercent,TransfersIn,OwnGoals,EAIndex,PenaltiesSaved,DreamteamCount,MinutesPlayed,TransfersInRound,PriceRiseRound,RedCards,BPS,NextFixture1,NextFixture2,NextFixture3,NextFixture4,NextFixture5,GW1Forecast,GW2Forecast,GW3Forecast,GW4Forecast,GW5Forecast,GW6Forecast,GW7Forecast,GW8Forecast,GW9Forecast,GW10Forecast,GW11Forecast,GW12Forecast,GW13Forecast,GW14Forecast,GW15Forecast,GW16Forecast,GW17Forecast,GW18Forecast,GW19Forecast,GW20Forecast,GW21Forecast,GW22Forecast,GW23Forecast,GW24Forecast,GW25Forecast,GW26Forecast,GW27Forecast,GW28Forecast,GW29Forecast,GW30Forecast,GW31Forecast,GW32Forecast,GW33Forecast,GW34Forecast,GW35Forecast,GW36Forecast,GW37Forecast,GW38Forecast,ICTIndex
Michael,Keane,DEF,EVE,5500000,8,8,0.210526315789474,3.82775119617225E-08,1.45454545454545E-06,0,1805,0,0,0,0,0,0,0,1.5,1805,0,0,8,0,1.5,0,8,2,0,1,0,0,3,2542,0,-1,0,0,90,2542,0,0,26,Crystal Palace,Watford,Aston Villa,Wolverhampton,Bournemouth,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.2,0.3,0.2,0.3,0.3,0.3,0.3,0.2,0.3,0.3,0.3,0.2,0.3,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.2,0.3,0.3,0.2,0.3,0.3,0.3,0.2,0.3,2.5
Naby,Keita,MID,LIV,6000000,0,0,0,0,0,0,2440,0,0,0,0,0,0,0,0,2440,0,0,0,0,0,0,0,0,0,0,0,0,0.6,572,0,-1,0,0,0,572,0,0,0,Norwich,Southampton,Arsenal,Burnley,Newcastle,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lloyd,Kelly,DEF,BOU,4500000,0,0,0,0,0,0,422,0,0,0,0,0,0,0,0,422,0,0,0,0,0,0,0,0,0,0,0,0,0.1,39,0,-1,0,0,0,39,0,0,0,Sheffield United,Aston Villa,Man City,Leicester,Everton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Martin,Kelly,DEF,CRY,4000000,6,6,0.157894736842105,3.94736842105263E-08,1.5E-06,0,4635,0,0,0,0,0,0,0,1.5,4635,0,0,6,0,1.5,0,6,0,0,1,0,0,24.4,19902,0,-1,0,0,90,19902,0,0,24,Everton,Sheffield United,Man Utd,Aston Villa,Tottenham,0.2,0.1,0.2,0.2,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.1,0.2,0.2,0.2,0.2,0.1,0.2,0.2,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,2.6
,Kenedy,MID,CHE,5500000,0,0,0,0,0,0,141,0,0,0,0,0,0,0,0,141,0,0,0,0,0,0,0,0,0,0,0,0,0.1,117,0,-1,0,0,0,117,0,0,0,Man Utd,Leicester,Norwich,Sheffield United,Wolverhampton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Kepa,GLK,CHE,5500000,0,0,0,0,0,0,3883,0,0,0,0,0,0,0,0,3883,0,0,0,0,0,0,0,0,0,0,0,0,5.7,18533,0,-1,0,0,0,18533,0,0,0,Man Utd,Leicester,Norwich,Sheffield United,Wolverhampton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Ki Sung-yueng,MID,NEW,5000000,0,0,0,0,0,0,148,0,0,0,0,0,0,0,0,148,0,0,0,0,0,0,0,0,0,0,0,0,0.1,113,0,-1,0,0,0,113,0,0,0,Arsenal,Norwich,Tottenham,Watford,Liverpool,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Kiko Femenia,DEF,WAT,4500000,1,1,0.0263157894736842,5.84795321637427E-09,2.22222222222222E-07,0,812,0,3,0,0,0,0,0,0.2,812,0,0,1,0,0.2,0,1,0,0,0,0,0,0.9,238,0,-1,0,0,90,238,0,0,16,Brighton,Everton,West Ham,Newcastle,Arsenal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.9
Max,Kilman,DEF,WOL,4000000,0,0,0,0,0,0,1573,0,0,0,0,0,0,0,0,1573,0,0,0,0,0,0,0,0,0,0,0,0,1.8,2673,0,-1,0,0,0,2673,0,0,0,Leicester,Man Utd,Burnley,Everton,Chelsea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Andy,King,MID,LEI,4500000,0,0,0,0,0,0,821,0,0,0,0,0,0,0,0,821,0,0,0,0,0,0,0,0,0,0,0,0,0.7,1986,0,-1,0,0,0,1986,0,0,0,Wolverhampton,Chelsea,Sheffield United,Bournemouth,Man Utd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Joshua,King,FWD,BOU,6500000,2,2,0.0526315789473684,8.09716599190283E-09,3.07692307692308E-07,0,20925,0,1,0,0,0,0,0,0.3,20925,0,0,2,0,0.3,0,2,0,0,0,0,0,20.9,7707,0,-1,0,0,90,7707,0,0,6,Sheffield United,Aston Villa,Man City,Leicester,Everton,0,0,0,0,0,0.1,0.1,0,0.1,0.1,0.1,0,0,0,0,0,0.1,0,0,0,0.1,0.1,0.1,0,0.1,0,0,0.1,0,0,0,0.1,0.1,0.1,0,0,0.1,0,3.9
Timm,Klose,DEF,NOR,4500000,0,0,0,0,0,0,284,0,0,0,0,0,0,0,0,284,0,0,0,0,0,0,0,0,0,0,0,0,0.1,5,0,-1,0,0,0,5,0,0,0,Liverpool,Newcastle,Chelsea,West Ham,Man City,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Anthony,Knockaert,MID,BHA,5500000,0,0,0,0,0,0,125,0,0,0,0,0,0,0,0,125,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,-1,0,0,0,9,0,0,0,Watford,West Ham,Southampton,Man City,Burnley,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jonathan,Kodjia,FWD,AVL,5500000,1,1,0.0263157894736842,4.78468899521531E-09,1.81818181818182E-07,0,1277,0,2,0,0,0,0,0,0.2,1277,0,0,1,0,0.2,0,1,0,0,0,0,0,0.5,684,0,-1,0,0,16,684,0,0,4,Tottenham,Bournemouth,Everton,Crystal Palace,West Ham,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2
Sead,Kolasinac,DEF,ARS,5500000,0,0,0,0,0,0,7501,0,0,0,0,0,0,0,0,7501,0,0,0,0,0,0,0,0,0,0,0,0,1.5,147,0,-1,0,0,0,147,0,0,0,Newcastle,Burnley,Liverpool,Tottenham,Watford,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Konsa,DEF,AVL,4500000,0,0,0,0,0,0,90,0,0,0,0,0,0,0,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0.1,33,0,-1,0,0,0,33,0,0,0,Tottenham,Bournemouth,Everton,Crystal Palace,West Ham,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Laurent,Koscielny,DEF,ARS,5000000,0,0,0,0,0,0,2838,0,0,0,0,0,0,0,0,2838,0,0,0,0,0,0,0,0,0,0,0,0,0.2,33,0,-1,0,0,0,33,0,0,0,Newcastle,Burnley,Liverpool,Tottenham,Watford,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cheikhou,Kouyate,MID,CRY,5000000,0,0,0,0,0,0,380,0,0,0,0,0,0,0,0,380,0,0,0,0,0,0,0,0,0,0,0,0,0.2,176,0,-1,0,0,0,176,0,0,0,Everton,Sheffield United,Man Utd,Aston Villa,Tottenham,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
