FirstName,Surname,PositionsList,Team,Cost,PointsLastRound,TotalPoints,AveragePoints,AveragePointsPerDollar,TotalPointsPerDollar,GameweekWeighting,TransfersOut,YellowCards,GoalsConceded,GoalsConcededPoints,Saves,SavesPoints,GoalsScored,GoalsScoredPoints,ValueSeason,TransfersOutRound,PriceRise,PriceFallRound,LastSeasonPoints,PriceFall,ValueForm,PenaltiesMissed,Form,Bonus,FanRating,CleanSheets,CleanSheetPoints,Assists,SelectedByPercent,TransfersIn,OwnGoals,EAIndex,PenaltiesSaved,DreamteamCount,MinutesPlayed,TransfersInRound,PriceRiseRound,RedCards,BPS,NextFixture1,NextFixture2,NextFixture3,NextFixture4,NextFixture5,GW28Forecast,GW29Forecast,GW30Forecast,GW31Forecast,GW32Forecast,GW33Forecast,GW34Forecast,GW35Forecast,GW36Forecast,GW37Forecast,GW38Forecast,ICTIndex
Eldin,Jakupovic,GLK,LEI,4200000,0,0,0,0,0,0,5481,0,0,0,0,0,0,0,0,3,-3,0,0,3,0,0,0,0,0,0,0,0,0.1,1505,0,-1,0,0,0,6,0,0,0,Norwich,Aston Villa,Watford,Brighton,Everton,0,0,0,0,0,0,0,0,0,0,0,0
Daniel,James,MID,MUN,5800000,0,86,3.3,5.68965517241379E-07,1.48275862068966E-05,0,1663538,3,27,0,0,0,3,0,14.8,2070,-2,1,86,2,0.4,0,2.2,2,0,6,0,6,6.2,1810267,0,-1,0,0,2076,821,-1,0,289,Everton,Man City,Tottenham,Sheffield United,Brighton,2.3,2.4,1.8,4.3,2.4,3.9,1.9,3.3,2.3,3.2,2,132.5
Matty,James,MID,LEI,4300000,0,1,0.037037037037037,8.61326442721792E-09,2.32558139534884E-07,0,25242,0,0,0,0,0,0,0,0.2,37,-2,0,1,2,0,0,0.2,0,0,0,0,0,0.1,12342,0,-1,0,0,5,53,0,0,3,Norwich,Aston Villa,Watford,Brighton,Everton,0,0,0,0,0,0,0,0,0,0,0,0.1
Reece,James,DEF,CHE,5000000,1,44,1.62962962962963,3.25925925925926E-07,8.8E-06,0,65108,1,14,0,0,0,0,0,8.8,944,0,0,44,0,0.2,0,1.2,5,0,3,0,2,0.9,121796,0,-1,0,1,1035,1044,0,0,254,Bournemouth,Everton,Aston Villa,Man City,West Ham,0.9,1.4,1.5,0.9,1.4,1.1,1,1,1.3,1.1,0.9,63.7
Daryl,Janmaat,DEF,WAT,4000000,0,36,1.33333333333333,3.33333333333333E-07,9E-06,0,196298,1,5,0,0,0,0,0,9,190,-5,0,36,5,0,0,0,7,0,4,0,1,0.6,189347,1,-1,0,1,606,208,0,0,148,Liverpool,Crystal Palace,Leicester,Burnley,Southampton,0,0,0,0.7,0.7,0.7,1,1.3,0.9,0.7,0.7,27.1
Vincent,Janssen,FWD,TOT,4500000,0,0,0,0,0,0,9133,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0.1,2932,0,-1,0,0,0,4,0,0,0,Wolverhampton,Burnley,Man Utd,West Ham,Sheffield United,0,0,0,0,0,0,0,0,0,0,0,0
Carl,Jenkinson,DEF,ARS,4500000,0,0,0,0,0,0,2607,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,435,0,-1,0,0,0,2,0,0,0,West Ham,Brighton,Southampton,Norwich,Wolverhampton,0,0,0,0,0,0,0,0,0,0,0,0
,Jesus,FWD,MCI,9500000,0,97,4.2,4.42105263157895E-07,1.02105263157895E-05,0,599995,1,11,0,0,0,10,0,10.2,716,0,0,97,0,0.3,1,3,9,0,6,0,5,2.5,555574,0,-1,0,2,1302,5600,0,0,360,Man Utd,Burnley,Chelsea,Liverpool,Southampton,0,4.2,4.8,4.8,3.8,5.6,4.6,4.6,5.3,4.5,5.8,184.9
Raul,Jimenez,FWD,WOL,7900000,0,138,5.1,6.45569620253165E-07,1.74683544303797E-05,0,2666838,3,29,0,0,0,12,0,17.5,5600,4,0,138,-4,0.3,0,2.2,22,0,8,0,6,30.3,3405970,0,-1,0,2,2278,33587,0,0,489,Tottenham,Brighton,West Ham,Bournemouth,Aston Villa,6.2,6.9,6,7.1,5.9,6.7,4.9,6.8,5.4,6.6,6.1,247.3
,Joao Pedro,FWD,WAT,4900000,0,0,0,0,0,0,867,0,0,0,0,0,0,0,0,21,-1,0,0,1,0,0,0,0,0,0,0,0,0,1206,0,-1,0,0,0,20,0,0,0,Liverpool,Crystal Palace,Leicester,Burnley,Southampton,0,0,0,0,0,0,0,0,0,0,0,0
