FirstName,Surname,PositionsList,Team,Cost,PointsLastRound,TotalPoints,AveragePoints,AveragePointsPerDollar,TotalPointsPerDollar,GameweekWeighting,TransfersOut,YellowCards,GoalsConceded,GoalsConcededPoints,Saves,SavesPoints,GoalsScored,GoalsScoredPoints,ValueSeason,TransfersOutRound,PriceRise,PriceFallRound,LastSeasonPoints,PriceFall,ValueForm,PenaltiesMissed,Form,Bonus,FanRating,CleanSheets,CleanSheetPoints,Assists,SelectedByPercent,TransfersIn,OwnGoals,EAIndex,PenaltiesSaved,DreamteamCount,MinutesPlayed,TransfersInRound,PriceRiseRound,RedCards,BPS,NextFixture1,NextFixture2,NextFixture3,NextFixture4,NextFixture5,GW24Forecast,GW25Forecast,GW26Forecast,GW27Forecast,GW28Forecast,GW29Forecast,GW30Forecast,GW31Forecast,GW32Forecast,GW33Forecast,GW34Forecast,GW35Forecast,GW36Forecast,GW37Forecast,GW38Forecast,ICTIndex
,Pedro,MID,CHE,6800000,0,10,0.434782608695652,6.39386189258312E-08,1.47058823529412E-06,0,266967,0,6,0,0,0,0,0,1.5,445,-2,0,10,2,0,0,0.2,0,0,1,0,0,1.1,124049,0,-1,0,0,310,159,0,0,40,Arsenal,Leicester,Man Utd,Tottenham,Bournemouth,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,33.1
Nicolas,Pepe,MID,ARS,9100000,2,63,3,3.2967032967033E-07,6.92307692307692E-06,0,477333,3,23,0,0,0,3,0,6.9,4278,-4,0,63,4,0.3,0,2.7,5,0,2,0,3,2.4,272799,0,-1,0,1,1339,6581,0,0,219,Chelsea,Burnley,Newcastle,Everton,Man City,2,2.5,3.3,3.1,1.6,2.6,2.3,2.9,2.9,2.4,2.1,1.8,1.9,1.8,3.2,119.2
,Pereira,DEF,LEI,6300000,12,106,4.6,7.3015873015873E-07,1.68253968253968E-05,0,921424,1,23,0,0,0,3,0,16.8,17473,3,0,106,-3,0.5,0,3.3,11,0,8,0,2,13.3,1389990,0,-1,0,3,2070,37605,0,0,492,West Ham,Chelsea,Wolverhampton,Man City,Norwich,6.4,5.3,4.5,4.6,5,6.6,4.8,5.7,5.4,5.9,4.2,4.8,5.2,5.9,6,120
Andreas,Pereira,MID,MUN,4900000,1,54,2.34782608695652,4.79148181011535E-07,1.10204081632653E-05,0,122004,3,16,0,0,0,1,0,11,1364,-1,0,54,1,0.6,0,2.8,1,0,5,0,3,0.5,123540,0,-1,0,0,1361,591,0,0,184,Burnley,Wolverhampton,Chelsea,Watford,Everton,2.5,2.2,1.2,2.4,1.2,1.4,1.2,2.8,1.2,2.4,1.2,2,1.2,2,1.2,96.5
Roberto,Pereyra,MID,WAT,5600000,2,37,1.60869565217391,2.87267080745342E-07,6.60714285714286E-06,0,240395,3,11,0,0,0,2,0,6.6,455,-4,0,37,4,0.3,0,1.8,0,0,4,0,0,0.6,27014,0,-1,0,0,971,433,0,0,123,Aston Villa,Everton,Brighton,Man Utd,Liverpool,0.8,1.2,0.8,0.8,0.8,0.8,0.8,0.8,0.9,0.8,1.1,1.3,0.8,0.8,0.9,62.7
Ayoze,Perez,MID,LEI,6100000,15,102,4.9,8.0327868852459E-07,1.67213114754098E-05,0,1380568,0,14,0,0,0,7,0,16.7,15280,-4,0,102,4,1.2,0,7.2,9,0,6,0,5,7.6,905926,0,-1,0,4,1343,129272,0,0,308,West Ham,Chelsea,Wolverhampton,Man City,Norwich,5.2,4.8,5.3,3.8,4.7,5.4,5.5,5.9,5,5.7,5.5,5.7,6.7,4.3,6.2,130
Taylor,Perry,MID,WOL,4500000,0,0,0,0,0,0,1609,0,0,0,0,0,0,0,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,2106,0,-1,0,0,0,48,0,0,0,Liverpool,Man Utd,Leicester,Norwich,Tottenham,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nathaniel,Phillips,DEF,LIV,4000000,0,0,0,0,0,0,152,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,180,0,-1,0,0,0,18,0,0,0,Wolverhampton,West Ham,Southampton,Norwich,West Ham,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jordan,Pickford,GLK,EVE,5300000,1,75,3.1,5.84905660377358E-07,1.41509433962264E-05,0,658801,1,35,0,62,0,0,0,14.2,10376,-2,0,75,2,0.6,0,3.3,3,0,6,0,0,7.2,471743,0,-1,0,1,2160,2356,0,0,409,Newcastle,Watford,Crystal Palace,Arsenal,Man Utd,4.3,2.2,3.7,1.9,3.8,2.5,3.2,2.4,3,3,2.5,2.1,4.6,2.3,3.2,50.8
Brandon,Pierrick,MID,CRY,4500000,0,1,0.0434782608695652,9.66183574879227E-09,2.22222222222222E-07,0,125,0,0,0,0,0,0,0,0.2,10,0,0,1,0,0,0,0.2,0,0,0,0,0,0,202,0,-1,0,0,7,11,0,0,5,Southampton,Sheffield United,Everton,Newcastle,Brighton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.7
