FirstName,Surname,PositionsList,Team,Cost,PointsLastRound,TotalPoints,AveragePoints,AveragePointsPerDollar,TotalPointsPerDollar,GameweekWeighting,TransfersOut,YellowCards,GoalsConceded,GoalsConcededPoints,Saves,SavesPoints,GoalsScored,GoalsScoredPoints,ValueSeason,TransfersOutRound,PriceRise,PriceFallRound,LastSeasonPoints,PriceFall,ValueForm,PenaltiesMissed,Form,Bonus,FanRating,CleanSheets,CleanSheetPoints,Assists,SelectedByPercent,TransfersIn,OwnGoals,EAIndex,PenaltiesSaved,DreamteamCount,MinutesPlayed,TransfersInRound,PriceRiseRound,RedCards,BPS,NextFixture1,NextFixture2,NextFixture3,NextFixture4,NextFixture5,GW19Forecast,GW20Forecast,GW21Forecast,GW22Forecast,GW23Forecast,GW24Forecast,GW25Forecast,GW26Forecast,GW27Forecast,GW28Forecast,GW29Forecast,GW30Forecast,GW31Forecast,GW32Forecast,GW33Forecast,GW34Forecast,GW35Forecast,GW36Forecast,GW37Forecast,GW38Forecast,ICTIndex
John,Fleck,MID,SHU,4900000,2,61,3.8,7.75510204081633E-07,1.24489795918367E-05,0,74093,5,13,0,0,0,4,0,12.4,4491,-1,0,61,1,0.8,0,3.7,7,0,5,0,1,2.2,217316,0,-1,0,3,1378,9403,0,0,286,Watford,Man City,Liverpool,West Ham,Arsenal,4.3,2.8,2.9,3.2,4,2.2,3.4,3.8,3.8,2.9,3.5,3.7,3.1,3.1,3.8,3.9,2.9,3,3.9,4.5,105.1
Phil,Foden,MID,MCI,5100000,0,12,0.666666666666667,1.30718954248366E-07,2.35294117647059E-06,0,38416,0,2,0,0,0,0,0,2.4,204,-4,0,12,4,0.2,0,1.2,0,0,0,0,1,0.3,11248,0,-1,0,0,140,343,0,0,43,Wolverhampton,Sheffield United,Everton,Aston Villa,Crystal Palace,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,21.1
Pablo,Fornals,MID,WHU,6000000,1,37,2.2,3.66666666666667E-07,6.16666666666667E-06,0,49748,1,17,0,0,0,0,0,6.2,198,-5,0,37,5,0.6,0,3.8,0,0,3,0,3,0.3,8029,0,-1,0,0,922,275,0,0,131,Crystal Palace,Leicester,Bournemouth,Sheffield United,Everton,1.3,1.4,1.7,2.3,1.8,2.2,1.7,1.1,1.1,1.5,1.6,1.8,1.1,1.3,1.4,1.9,1.4,2,1.2,1.6,53.8
Fraser,Forster,GLK,SOU,4300000,0,0,0,0,0,0,46919,0,0,0,0,0,0,0,0,104,-2,0,0,2,0,0,0,0,0,0,0,0,0.3,2881,0,-1,0,0,0,10,0,0,0,Chelsea,Crystal Palace,Tottenham,Leicester,Wolverhampton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ben,Foster,GLK,WAT,4800000,3,73,3.8,7.91666666666667E-07,1.52083333333333E-05,0,147121,0,33,0,64,0,0,0,15.2,834,-2,0,73,2,0.9,0,4.3,13,0,5,0,0,2,93973,0,-1,0,1,1710,5297,0,0,356,Sheffield United,Aston Villa,Wolverhampton,Bournemouth,Tottenham,3.6,5.7,3.7,3.4,5,4.4,5.2,3.5,2.9,4,4,4,2.9,3.4,3.6,4.5,5.5,4.4,4,2.9,51.3
Dimitri,Foulquier,DEF,WAT,4000000,0,1,0.0555555555555556,1.38888888888889E-08,2.5E-07,0,10616,0,6,0,0,0,0,0,0.2,229,0,0,1,0,0,0,0.2,0,0,0,0,0,0.2,17971,0,-1,0,0,57,128,0,0,12,Sheffield United,Aston Villa,Wolverhampton,Bournemouth,Tottenham,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Juan,Foyth,DEF,TOT,4900000,0,2,0.111111111111111,2.26757369614512E-08,4.08163265306122E-07,0,2894,1,2,0,0,0,0,0,0.4,46,-1,0,2,1,0,0,0.2,0,0,0,0,0,0,2036,0,-1,0,0,21,25,0,0,9,Brighton,Norwich,Southampton,Liverpool,Watford,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,2.8
Simon,Francis,DEF,BOU,4400000,0,10,0.555555555555556,1.26262626262626E-07,2.27272727272727E-06,0,2007,1,7,0,0,0,0,0,2.3,201,-1,0,10,1,0.4,0,1.7,1,0,1,0,0,0,3460,0,-1,0,0,368,27,0,1,68,Arsenal,Brighton,West Ham,Watford,Norwich,0,0,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,17.4
Ryan,Fraser,MID,BOU,6900000,2,50,2.8,4.05797101449275E-07,7.2463768115942E-06,0,1088958,2,20,0,0,0,1,0,7.2,1447,-6,0,50,6,0.3,0,2,2,0,4,0,3,2.9,127811,0,-1,0,0,1345,1248,0,0,177,Arsenal,Brighton,West Ham,Watford,Norwich,2.6,2.4,2.1,2.9,2.1,2.5,2.3,3.2,2.3,1.9,1.6,2.4,2.5,2.9,1.8,2,2,1.6,2.2,2.1,86.5
,Fred,MID,MUN,5300000,2,24,1.6,3.0188679245283E-07,4.52830188679245E-06,0,15398,3,17,0,0,0,0,0,4.5,346,-2,0,24,2,0.3,0,1.8,0,0,0,0,0,0.2,13391,0,-1,0,0,1138,652,0,0,176,Newcastle,Burnley,Arsenal,Norwich,Liverpool,1.4,0.8,0.8,1.1,0.8,1.3,1.2,0.8,1.4,0.8,0.8,0.8,1.5,0.8,1.2,0.8,1,0.8,1,0.8,67.4
Ryan,Fredericks,DEF,WHU,4500000,0,43,2.7,6E-07,9.55555555555555E-06,0,101054,5,24,0,0,0,0,0,9.6,647,0,0,43,0,0.6,0,2.8,3,0,5,0,1,0.5,109488,0,-1,0,0,1357,174,0,0,242,Crystal Palace,Leicester,Bournemouth,Sheffield United,Everton,2.5,2.2,2.2,2.2,3.1,4.1,2.4,2.3,2.3,1.8,1.8,2,2.5,2.3,2.7,2.2,2.3,2.7,1.8,3.6,52.3
Kieron,Freeman,DEF,SHU,4200000,0,0,0,0,0,0,9134,0,0,0,0,0,0,0,0,88,-3,0,0,3,0,0,0,0,0,0,0,0,0.1,3374,0,-1,0,0,0,74,0,0,0,Watford,Man City,Liverpool,West Ham,Arsenal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Luke,Freeman,MID,SHU,5100000,0,11,1.2,2.35294117647059E-07,2.15686274509804E-06,0,8606,2,4,0,0,0,0,0,2.2,53,-4,0,11,4,0.1,0,0.3,0,0,1,0,0,0.1,2883,0,-1,0,0,322,37,0,0,32,Watford,Man City,Liverpool,West Ham,Arsenal,0.7,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.7,13.6
