FirstName,Surname,PositionsList,Team,Cost,PointsLastRound,TotalPoints,AveragePoints,AveragePointsPerDollar,TotalPointsPerDollar,GameweekWeighting,TransfersOut,YellowCards,GoalsConceded,GoalsConcededPoints,Saves,SavesPoints,GoalsScored,GoalsScoredPoints,ValueSeason,TransfersOutRound,PriceRise,PriceFallRound,LastSeasonPoints,PriceFall,ValueForm,PenaltiesMissed,Form,Bonus,FanRating,CleanSheets,CleanSheetPoints,Assists,SelectedByPercent,TransfersIn,OwnGoals,EAIndex,PenaltiesSaved,DreamteamCount,MinutesPlayed,TransfersInRound,PriceRiseRound,RedCards,BPS,NextFixture1,NextFixture2,NextFixture3,NextFixture4,NextFixture5,GW27Forecast,GW28Forecast,GW29Forecast,GW30Forecast,GW31Forecast,GW32Forecast,GW33Forecast,GW34Forecast,GW35Forecast,GW36Forecast,GW37Forecast,GW38Forecast,ICTIndex
Ahmed,El Mohamady,DEF,AVL,4200000,0,19,0.730769230769231,1.73992673992674E-07,4.52380952380952E-06,0,149277,0,24,0,0,0,0,0,4.5,436,-3,0,19,3,0,0,0,5,0,1,0,1,0.9,71674,0,-1,0,0,701,99,0,0,154,Southampton,Leicester,Chelsea,Newcastle,Wolverhampton,0.4,0,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,43.6
Robert,Elliot,GLK,NEW,4000000,0,0,0,0,0,0,2467,0,0,0,0,0,0,0,0,82,0,0,0,0,0,0,0,0,0,0,0,0,0.1,7554,0,-1,0,0,0,39,0,0,0,Crystal Palace,Burnley,Southampton,Sheffield United,Aston Villa,0,0,0,0,0,0,0,0,0,0,0,0,0
Harvey,Elliott,MID,LIV,4500000,0,1,0.0384615384615385,8.54700854700855E-09,2.22222222222222E-07,0,939,0,0,0,0,0,0,0,0.2,11,0,0,1,0,0,0,0,0,0,0,0,0,0,1065,0,-1,0,0,1,6,0,0,3,West Ham,Watford,Bournemouth,Everton,Crystal Palace,0,0,0,0,0,0,0,0,0,0,0,0,0
Mohamed,Elneny,MID,ARS,4300000,0,0,0,0,0,0,119047,0,0,0,0,0,0,0,0,295,-2,0,0,2,0,0,0,0,0,0,0,0,0.6,123199,0,-1,0,0,0,33,0,0,0,Everton,West Ham,Brighton,Southampton,Norwich,0,0,0,0,0,0,0,0,0,0,0,0,0
Mohamed,Elyounoussi,MID,SOU,5200000,0,0,0,0,0,0,3357,0,0,0,0,0,0,0,0,3,-3,0,0,3,0,0,0,0,0,0,0,0,0,318,0,-1,0,0,0,3,0,0,0,Aston Villa,West Ham,Newcastle,Norwich,Arsenal,0,0,0,0,0,0,0,0,0,0,0,0,0
,Emerson,DEF,CHE,5400000,0,18,0.692307692307692,1.28205128205128E-07,3.33333333333333E-06,0,230084,3,21,0,0,0,0,0,3.3,196,-1,0,18,1,0,0,0,0,0,1,0,0,0.7,178399,0,-1,0,0,1020,56,0,0,179,Tottenham,Bournemouth,Everton,Aston Villa,Man City,0.4,0.3,0.3,0.4,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,73.1
Bjorn,Engels,DEF,AVL,4400000,0,42,2.6,5.90909090909091E-07,9.54545454545455E-06,0,88471,1,28,0,0,0,1,0,9.5,277,-1,0,42,1,0.6,0,2.7,4,0,3,0,0,0.5,97334,0,-1,0,1,1356,83,0,0,242,Southampton,Leicester,Chelsea,Newcastle,Wolverhampton,1.8,0,1.8,2.5,2.3,2.2,2,2.8,2.7,2,2.1,2.5,43.4
Christian,Eriksen,MID,TOT,8600000,0,48,2.4,2.7906976744186E-07,5.58139534883721E-06,0,447949,5,18,0,0,0,2,0,5.6,779,-4,0,48,4,0,0,0,6,0,1,0,2,2.5,142742,0,-1,0,0,1090,19,0,0,205,Chelsea,Wolverhampton,Burnley,Man Utd,West Ham,0,0,0,0,0,0,0,0,0,0,0,0,83.3
Jonny,Evans,DEF,LEI,5200000,2,101,3.7,7.11538461538462E-07,1.94230769230769E-05,0,392291,4,27,0,0,0,1,0,19.4,2667,2,0,101,-2,0.7,0,3.7,10,0,9,0,2,6.1,724143,0,-1,0,3,2394,11714,0,0,540,Man City,Norwich,Aston Villa,Watford,Brighton,3.6,3.8,5.4,3.4,4.2,3.8,4.2,2.8,3.5,3.7,4.5,4.3,91.3
Lukasz,Fabianski,GLK,WHU,4900000,0,53,4.1,8.36734693877551E-07,1.08163265306122E-05,0,532908,1,17,0,40,0,0,0,10.8,387,-1,0,53,1,0.3,0,1.5,5,0,4,0,0,2,326476,0,-1,1,3,1037,420,0,0,242,Liverpool,Southampton,Arsenal,Wolverhampton,Tottenham,4.3,3.7,3.2,4.2,5,4.7,4.9,4.3,4.2,4.8,3.7,6.1,30.1
