FirstName,Surname,PositionsList,Team,Cost,PointsLastRound,TotalPoints,AveragePoints,AveragePointsPerDollar,TotalPointsPerDollar,GameweekWeighting,TransfersOut,YellowCards,GoalsConceded,GoalsConcededPoints,Saves,SavesPoints,GoalsScored,GoalsScoredPoints,ValueSeason,TransfersOutRound,PriceRise,PriceFallRound,LastSeasonPoints,PriceFall,ValueForm,PenaltiesMissed,Form,Bonus,FanRating,CleanSheets,CleanSheetPoints,Assists,SelectedByPercent,TransfersIn,OwnGoals,EAIndex,PenaltiesSaved,DreamteamCount,MinutesPlayed,TransfersInRound,PriceRiseRound,RedCards,BPS,NextFixture1,NextFixture2,NextFixture3,NextFixture4,NextFixture5,GW7Forecast,GW8Forecast,GW9Forecast,GW10Forecast,GW11Forecast,GW12Forecast,GW13Forecast,GW14Forecast,GW15Forecast,GW16Forecast,GW17Forecast,GW18Forecast,GW19Forecast,GW20Forecast,GW21Forecast,GW22Forecast,GW23Forecast,GW24Forecast,GW25Forecast,GW26Forecast,GW27Forecast,GW28Forecast,GW29Forecast,GW30Forecast,GW31Forecast,GW32Forecast,GW33Forecast,GW34Forecast,GW35Forecast,GW36Forecast,GW37Forecast,GW38Forecast,ICTIndex
Leighton,Baines,DEF,EVE,4900000,0,0,0,0,0,0,5961,0,0,0,0,0,0,0,0,218,-1,0,0,1,0,0,0,0,0,0,0,0,0.1,3623,0,-1,0,0,0,131,0,0,0,Man City,Burnley,West Ham,Brighton,Tottenham,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fabian,Balbuena,DEF,WHU,4300000,0,0,0,0,0,0,16108,1,5,0,0,0,0,0,0,334,-2,1,0,2,0,0,0.2,0,0,0,0,0,0.3,3510,0,-1,0,0,91,107,-1,0,9,Bournemouth,Crystal Palace,Everton,Sheffield United,Newcastle,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6
George,Baldock,DEF,SHU,4500000,2,24,3.4,7.55555555555556E-07,5.33333333333333E-06,0,18818,2,7,0,0,0,0,0,5.3,752,0,0,24,0,0.6,0,2.5,3,0,2,0,1,0.7,45703,0,-1,0,0,630,1484,0,0,91,Liverpool,Watford,Arsenal,West Ham,Burnley,2.3,3.6,2.4,3.6,2.4,3.4,4.2,3.4,3.5,2.4,4.5,4,3.1,2.5,3.1,3.1,3.1,2.2,3.5,1.7,2.6,3.9,3.6,4.7,3.3,3.1,2.4,2.5,2.4,3.2,4,4.1,23.6
Leon,Balogun,DEF,BHA,4400000,0,0,0,0,0,0,3385,0,0,0,0,0,0,0,0,72,-1,0,0,1,0,0,0,0,0,0,0,0,0.1,563,0,-1,0,0,0,1,0,0,0,Chelsea,Tottenham,Aston Villa,Everton,Norwich,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tudor,Baluta,DEF,BHA,4000000,0,0,0,0,0,0,2022,0,0,0,0,0,0,0,0,323,0,0,0,0,0,0,0,0,0,0,0,0,0.1,7789,0,-1,0,0,0,767,0,0,0,Chelsea,Tottenham,Aston Villa,Everton,Norwich,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Phil,Bardsley,DEF,BUR,4400000,0,0,0,0,0,0,5372,0,0,0,0,0,0,0,0,139,-1,0,0,1,0,0,0,0,0,0,0,0,0.1,1562,0,-1,0,0,0,29,0,0,0,Aston Villa,Everton,Leicester,Chelsea,Sheffield United,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ross,Barkley,MID,CHE,5600000,3,8,1.33333333333333,2.38095238095238E-07,1.42857142857143E-06,0,396706,0,5,0,0,0,0,0,1.4,2553,-4,0,8,4,0.2,0,1.2,0,0,1,0,0,2.1,65536,0,-1,0,0,293,716,0,0,35,Brighton,Southampton,Newcastle,Burnley,Watford,0.7,0.8,0.7,0.7,0.7,0.9,0.7,0.7,0.7,0.7,0.8,0.7,0.7,0.7,0.8,0.8,0.9,0.7,0.7,0.9,0.7,0.8,0.8,0.7,0.7,0.7,0.8,0.7,1.1,1,0.7,0.8,33.1
Ashley,Barnes,FWD,BUR,6600000,1,32,4.6,6.96969696969697E-07,4.84848484848485E-06,0,641038,2,7,0,0,0,4,0,4.8,38207,1,0,32,-1,0.3,0,1.8,4,0,3,0,0,7.8,971899,0,-1,0,1,572,4538,0,0,107,Aston Villa,Everton,Leicester,Chelsea,Sheffield United,3.7,6.3,3.4,6.3,4.1,5.2,5.4,6.3,5.8,4.7,4.9,5.1,4,6.9,6.5,5.3,5.6,4,6.2,5.4,5.9,4.6,6.3,4.2,6.7,3.2,4.1,3.7,3.8,4.9,4.7,5.2,42.5
Harvey,Barnes,MID,LEI,5900000,4,16,2.66666666666667,4.51977401129943E-07,2.71186440677966E-06,0,12690,0,2,0,0,0,1,0,2.7,421,-1,0,16,1,0.4,0,2.2,0,0,0,0,1,0.3,11813,0,-1,0,0,285,403,0,0,64,Newcastle,Liverpool,Burnley,Southampton,Crystal Palace,2.4,1.3,2.8,2.1,1.3,2.4,2,2.8,2.8,1.3,3.1,1.3,1.7,1.3,2.2,2,1.6,2,1.9,2.1,1.4,1.3,2.6,1.9,2.3,1.4,3,1.8,2.1,2.9,1.3,2.9,27.2
Chris,Basham,DEF,SHU,4500000,2,20,3.33333333333333,7.40740740740741E-07,4.44444444444444E-06,0,5196,0,7,0,0,0,0,0,4.4,108,0,0,20,0,0.6,0,2.8,0,0,2,0,0,0.2,5609,0,-1,0,0,594,241,0,0,94,Liverpool,Watford,Arsenal,West Ham,Burnley,2.2,3.5,2.3,3.5,2.3,3.3,4.1,3.3,3.4,2.3,4.4,3.8,3,2.4,3,3,3,2.1,3.4,1.7,2.6,3.8,3.5,4.6,3.2,3,2.3,2.4,2.4,3.1,3.9,4,16.9
