FirstName,Surname,PositionsList,Team,Cost,PointsLastRound,TotalPoints,AveragePoints,AveragePointsPerDollar,TotalPointsPerDollar,GameweekWeighting,TransfersOut,YellowCards,GoalsConceded,GoalsConcededPoints,Saves,SavesPoints,GoalsScored,GoalsScoredPoints,ValueSeason,TransfersOutRound,PriceRise,PriceFallRound,LastSeasonPoints,PriceFall,ValueForm,PenaltiesMissed,Form,Bonus,FanRating,CleanSheets,CleanSheetPoints,Assists,SelectedByPercent,TransfersIn,OwnGoals,EAIndex,PenaltiesSaved,DreamteamCount,MinutesPlayed,TransfersInRound,PriceRiseRound,RedCards,BPS,NextFixture1,NextFixture2,NextFixture3,NextFixture4,NextFixture5,GW31Forecast,GW32Forecast,GW33Forecast,GW34Forecast,GW35Forecast,GW36Forecast,GW37Forecast,GW38Forecast,ICTIndex
Chris,Mepham,DEF,BOU,4300000,0,26,0.896551724137931,2.0850040096231E-07,6.04651162790698E-06,0,122213,1,19,0,0,0,1,0,6,222,-2,0,26,2,0,0,0,2,0,1,0,0,0.6,94668,0,-1,0,1,901,10,0,0,161,Wolverhampton,Newcastle,Man Utd,Tottenham,Leicester,0,0,0.4,0.7,0.4,0.4,0.4,0.4,42.2
Max,Meyer,MID,CRY,5200000,0,18,0.620689655172414,1.19363395225464E-07,3.46153846153846E-06,0,11302,1,7,0,0,0,0,0,3.5,31,-3,0,18,3,0,0,0,0,0,1,0,0,0.1,4429,0,-1,0,0,541,18,0,0,43,Liverpool,Burnley,Leicester,Chelsea,Aston Villa,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,16.9
Simon,Mignolet,GLK,LIV,4500000,0,0,0,0,0,0,3021,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,638,0,-1,0,0,0,5,0,0,0,Crystal Palace,Man City,Aston Villa,Brighton,Burnley,0,0,0,0,0,0,0,0,0
Luka,Milivojevic,MID,CRY,6700000,1,62,2.7,4.02985074626866E-07,9.25373134328358E-06,0,448113,9,26,0,0,0,2,0,9.3,431,-3,0,62,3,0,0,0.3,7,0,6,0,1,1.9,62571,0,-1,0,1,1985,216,0,0,300,Liverpool,Burnley,Leicester,Chelsea,Aston Villa,1.4,2.7,1.6,2,1.6,2.6,2.2,2.1,95
James,Milner,MID,LIV,5300000,2,45,1.55172413793103,2.92778139232271E-07,8.49056603773585E-06,0,77791,3,7,0,0,0,2,0,8.5,129,-2,0,45,2,0.2,0,0.8,3,0,4,0,2,0.5,43156,0,-1,0,1,758,218,0,0,176,Crystal Palace,Man City,Aston Villa,Brighton,Burnley,1,0.8,1,0.8,1.1,0.8,0.8,0.9,45.1
Yerry,Mina,DEF,EVE,5300000,0,73,2.9,5.47169811320755E-07,1.37735849056604E-05,0,433130,3,36,0,0,0,2,0,13.8,3253,-2,0,73,2,0.2,0,1.3,8,0,5,0,1,2.2,420140,1,-1,0,1,2085,471,0,0,380,Leicester,Tottenham,Southampton,Wolverhampton,Aston Villa,0,3,3,2.4,1.9,4.4,2.1,3.1,96.7
Takumi,Minamino,MID,LIV,6100000,0,3,0.103448275862069,1.69587337478802E-08,4.91803278688525E-07,0,16103,0,1,0,0,0,0,0,0.5,231,-4,0,3,4,0,0,0.2,0,0,0,0,0,0,18437,0,-1,0,0,77,72,0,0,6,Crystal Palace,Man City,Aston Villa,Brighton,Burnley,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,2.4
Tyrone,Mings,DEF,AVL,4500000,0,56,2.4,5.33333333333333E-07,1.24444444444444E-05,0,479467,5,42,0,0,0,2,0,12.4,1620,0,0,56,0,0.1,0,0.3,5,0,3,0,1,2.5,495985,0,-1,0,0,2002,448,0,0,378,Wolverhampton,Liverpool,Man Utd,Crystal Palace,Everton,0,2,1.7,2.7,2.5,1.7,2,2.1,77.1
Tyrick,Mitchell,DEF,CRY,4000000,0,0,0,0,0,0,1465,0,0,0,0,0,0,0,0,107,0,0,0,0,0,0,0,0,0,0,0,0,0,2253,0,-1,0,0,0,96,0,0,0,Liverpool,Burnley,Leicester,Chelsea,Aston Villa,0,0,0,0,0,0,0,0,0
Henrikh,Mkhitaryan,MID,ARS,6800000,0,4,1.3,1.91176470588235E-07,5.88235294117647E-07,0,116547,1,0,0,0,0,0,0,0.6,49,-2,0,4,2,0,0,0,0,0,1,0,0,0.7,23021,0,-1,0,0,110,9,0,0,3,Norwich,Wolverhampton,Leicester,Tottenham,Liverpool,0,0,0,0,0,0,0,0,8.6
Nacho,Monreal,DEF,ARS,5000000,0,10,3.3,6.6E-07,2E-06,0,89000,0,4,0,0,0,0,0,2,32,0,0,10,0,0,0,0,1,0,1,0,0,0.2,28175,0,-1,0,0,270,5,0,0,54,Norwich,Wolverhampton,Leicester,Tottenham,Liverpool,0,0,0,0,0,0,0,0,10
Martin,Montoya,DEF,BHA,4300000,5,60,2.6,6.04651162790698E-07,1.3953488372093E-05,0,108329,5,25,0,0,0,0,0,14,359,-2,0,60,2,0.5,0,2,3,0,6,0,1,0.6,96885,0,-1,0,1,1703,271,0,0,293,Man Utd,Norwich,Liverpool,Man City,Southampton,0,2.8,2.1,2.5,2.2,2,3.4,1.7,82.8
Simon,Moore,GLK,SHU,4300000,0,1,0.0357142857142857,8.30564784053156E-09,2.32558139534884E-07,0,6678,0,3,0,2,0,0,0,0.2,36,-2,0,1,2,0,0,0,0,0,0,0,0,0.1,3789,0,-1,0,0,90,20,0,0,9,Tottenham,Burnley,Wolverhampton,Chelsea,Leicester,0,0,0,0,0,0,0,0,0.8
Aaron,Mooy,MID,BHA,4800000,3,64,2.9,6.04166666666667E-07,1.33333333333333E-05,0,80722,0,26,0,0,0,2,0,13.3,2018,-2,0,64,2,0.5,0,2.3,9,0,4,0,1,0.7,106449,0,-1,0,1,1651,369,0,1,267,Man Utd,Norwich,Liverpool,Man City,Southampton,0,2.8,2,1.9,1.9,2.7,3.2,2.4,111.9
Wes,Morgan,DEF,LEI,4100000,0,9,0.310344827586207,7.56938603868797E-08,2.19512195121951E-06,0,91153,0,1,0,0,0,0,0,2.2,243,-4,0,9,4,0,0,0.2,0,0,0,0,0,0.6,31540,0,-1,0,0,160,157,0,0,35,Everton,Crystal Palace,Arsenal,Bournemouth,Sheffield United,0,0.2,0.2,0.2,0.2,0.2,0.2,0.2,8.2
Ravel,Morrison,MID,SHU,4600000,0,1,1,2.17391304347826E-07,2.17391304347826E-07,0,13896,0,0,0,0,0,0,0,0.2,46,-4,0,1,4,0,0,0,0,0,0,0,0,0.1,4280,0,-1,0,0,12,5,0,0,0,Tottenham,Burnley,Wolverhampton,Chelsea,Leicester,0,0,0,0,0,0,0,0,0.2
Mason,Mount,MID,CHE,6100000,6,111,3.8,6.22950819672131E-07,1.81967213114754E-05,0,3173730,3,33,0,0,0,6,0,18.2,30339,1,0,111,-1,0.5,0,3,8,0,7,0,5,15.4,3998575,0,-1,0,1,2296,18705,0,0,424,West Ham,Watford,Crystal Palace,Sheffield United,Norwich,0,3.1,4.5,3.5,4.8,4.2,2.7,4.2,207.4
Lys,Mousset,FWD,SHU,4500000,0,71,2.53571428571429,5.63492063492063E-07,1.57777777777778E-05,0,681867,1,11,0,0,0,5,0,15.8,5620,-5,0,71,5,0,0,0,9,0,3,0,4,2.2,784518,0,-1,0,1,1009,3193,0,0,214,Tottenham,Burnley,Wolverhampton,Chelsea,Leicester,0,2.7,2,2.1,2.3,1.8,2.5,2.8,89
,Moutinho,MID,WOL,5400000,3,94,3.2,5.92592592592593E-07,1.74074074074074E-05,0,701283,5,32,0,0,0,1,0,17.4,6784,-1,0,94,1,0.4,0,2.2,11,0,7,0,7,5.2,607221,0,-1,0,0,2434,7458,0,0,508,Bournemouth,Aston Villa,Arsenal,Sheffield United,Everton,3.5,2.2,3.3,3.7,3.5,2.9,3.2,2.3,171.1
Jacob,Murphy,MID,NEW,4800000,0,0,0,0,0,0,1381,0,0,0,0,0,0,0,0,5,-2,0,0,2,0,0,0,0,0,0,0,0,0,256,0,-1,0,0,0,2,0,0,0,Bournemouth,West Ham,Watford,Tottenham,Brighton,0,0,0,0,0,0,0,0,0
Glenn,Murray,FWD,BHA,5400000,0,29,1,1.85185185185185E-07,5.37037037037037E-06,0,224964,0,10,0,0,0,1,0,5.4,497,-6,0,29,6,0.2,0,1,0,0,2,0,0,0.7,52565,0,-1,0,0,701,153,0,0,54,Man Utd,Norwich,Liverpool,Man City,Southampton,0,0.6,0.5,0.5,0.6,0.6,0.5,0.5,30.6
Shkodran,Mustafi,DEF,ARS,5100000,0,26,0.928571428571429,1.82072829131653E-07,5.09803921568627E-06,0,38324,0,9,0,0,0,0,0,5.1,531,-4,0,26,4,0.5,0,2.3,1,0,2,0,2,0.4,15339,0,-1,0,0,620,23,0,0,144,Norwich,Wolverhampton,Leicester,Tottenham,Liverpool,0,0.6,0.5,0.5,0.5,0.5,0.5,0.5,29.8
Yoshinori,Muto,FWD,NEW,5100000,0,8,0.275862068965517,5.40906017579446E-08,1.56862745098039E-06,0,13332,0,6,0,0,0,0,0,1.6,35,-4,0,8,4,0,0,0,0,0,0,0,0,0.1,6440,0,-1,0,0,201,29,0,0,22,Bournemouth,West Ham,Watford,Tottenham,Brighton,0,0.1,0.1,0,0.1,0.1,0.1,0.1,3.7
Marvelous,Nakamba,MID,AVL,4400000,2,35,1.7,3.86363636363636E-07,7.95454545454546E-06,0,106044,4,35,0,0,0,0,0,8,420,-1,0,35,1,0.3,0,1.3,0,0,1,0,0,0.7,125763,0,-1,0,0,1626,113,0,0,249,Wolverhampton,Liverpool,Man Utd,Crystal Palace,Everton,0,1.4,0.8,1.3,1.3,0.8,1.4,0.8,45.1
Marc,Navarro,DEF,WAT,3900000,0,0,0,0,0,0,39224,0,0,0,0,0,0,0,0,360,-1,0,0,1,0,0,0,0,0,0,0,0,0.3,48876,0,-1,0,0,0,196,0,0,0,Burnley,Southampton,Chelsea,Norwich,Newcastle,0,0,0,0,0,0,0,0,0
Wilfred,Ndidi,MID,LEI,5000000,3,67,2.9,5.8E-07,1.34E-05,0,407319,3,19,0,0,0,2,0,13.4,628,0,0,67,0,0.2,0,1,5,0,9,0,1,1.7,385897,0,-1,0,0,1891,983,0,0,347,Everton,Crystal Palace,Arsenal,Bournemouth,Sheffield United,0,2.2,2.7,2.3,2.5,3.4,1.8,2.8,84
Tanguy,Ndombele,MID,TOT,5800000,1,44,1.51724137931034,2.61593341260404E-07,7.58620689655172E-06,0,825834,2,16,0,0,0,2,0,7.6,581,-2,0,44,2,0.2,0,1,2,0,1,0,2,2.3,586991,0,-1,0,0,938,149,0,0,213,West Ham,Sheffield United,Everton,Bournemouth,Arsenal,0.9,1.1,1.2,0.8,1.1,0.8,0.8,0.8,56.5
Reiss,Nelson,MID,ARS,5300000,1,19,0.678571428571429,1.28032345013477E-07,3.58490566037736E-06,0,18256,1,4,0,0,0,0,0,3.6,61,-2,0,19,2,0.1,0,0.3,0,0,2,0,1,0.1,11997,0,-1,0,0,458,52,0,0,60,Norwich,Wolverhampton,Leicester,Tottenham,Liverpool,0,0.3,0.3,0.3,0.3,0.3,0.3,0.3,27.9
