FirstName,Surname,PositionsList,Team,Cost,PointsLastRound,TotalPoints,AveragePoints,AveragePointsPerDollar,TotalPointsPerDollar,GameweekWeighting,TransfersOut,YellowCards,GoalsConceded,GoalsConcededPoints,Saves,SavesPoints,GoalsScored,GoalsScoredPoints,ValueSeason,TransfersOutRound,PriceRise,PriceFallRound,LastSeasonPoints,PriceFall,ValueForm,PenaltiesMissed,Form,Bonus,FanRating,CleanSheets,CleanSheetPoints,Assists,SelectedByPercent,TransfersIn,OwnGoals,EAIndex,PenaltiesSaved,DreamteamCount,MinutesPlayed,TransfersInRound,PriceRiseRound,RedCards,BPS,NextFixture1,NextFixture2,NextFixture3,NextFixture4,NextFixture5,GW10Forecast,GW11Forecast,GW12Forecast,GW13Forecast,GW14Forecast,GW15Forecast,GW16Forecast,GW17Forecast,GW18Forecast,GW19Forecast,GW20Forecast,GW21Forecast,GW22Forecast,GW23Forecast,GW24Forecast,GW25Forecast,GW26Forecast,GW27Forecast,GW28Forecast,GW29Forecast,GW30Forecast,GW31Forecast,GW32Forecast,GW33Forecast,GW34Forecast,GW35Forecast,GW36Forecast,GW37Forecast,GW38Forecast,ICTIndex
Raul,Jimenez,FWD,WOL,5700000,1,36,4,7.01754385964912E-07,6.31578947368421E-06,0,269356,0,8,0,0,0,2,0,6.3,32940,2,-1,36,-2,0.6,0,3.7,2,0,4,0,3,7.7,495025,0,0,0,0,745,33360,1,0,104,Brighton,Tottenham,Arsenal,Huddersfield,Cardiff City,4.1,3.3,4.3,4.3,4.3,3.4,5.3,4.7,3.5,5.2,3.8,3.2,3.1,4.7,5.2,3.9,4.3,3.8,5.4,5,3.9,4.5,4.4,4.6,4.6,5.2,4.5,5.5,3.2,67.6
Stefan,Johansen,MID,FUL,5200000,1,8,0.888888888888889,1.70940170940171E-07,1.53846153846154E-06,0,5840,2,11,0,0,0,0,0,1.5,157,-3,0,8,3,0.1,0,0.7,0,0,0,0,0,0.1,565,0,0,0,0,282,39,0,0,39,Bournemouth,Huddersfield,Liverpool,Southampton,Chelsea,0.4,0.5,0.4,0.5,0.4,0.4,0.4,0.4,0.5,0.4,0.4,0.4,0.4,0.4,0.5,0.7,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,5.7
Phil,Jones,DEF,MUN,5200000,0,0,0,0,0,0,146418,0,2,0,0,0,0,0,0,888,-3,0,0,3,0,0,0,0,0,0,0,0,0.5,1943,0,0,0,0,57,62,0,0,6,Everton,Bournemouth,Man City,Crystal Palace,Southampton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9
,Jonny,DEF,WOL,4500000,0,38,4.22222222222222,9.38271604938272E-07,8.44444444444444E-06,0,50747,2,8,0,0,0,1,0,8.4,13556,0,0,38,0,1.3,0,5.7,4,0,4,0,0,3,175114,0,0,0,1,744,10662,0,0,152,Brighton,Tottenham,Arsenal,Huddersfield,Cardiff City,4.6,4.9,3.1,5.1,5.3,5,5.1,4.2,5.2,4,5.4,3.9,4.1,4.6,5.1,4.6,4.1,3.2,6.2,6,5.5,3.3,4.2,4.8,5,5.8,4.5,4.3,4.9,43.4
,Jorginho,MID,CHE,5100000,2,28,3.1,6.07843137254902E-07,5.49019607843137E-06,0,563878,0,7,0,0,0,1,0,5.5,39780,1,0,28,-1,0.5,0,2.3,1,0,4,0,0,10.7,589996,0,0,0,0,810,14007,0,0,147,Burnley,Crystal Palace,Everton,Tottenham,Fulham,2.8,3,2.7,2.6,2.8,3.1,1.9,2.5,2.6,2.9,4.6,3.1,2.9,2.5,2.6,3,1.8,3.2,2,2.8,2.7,2.2,2.7,2.7,2.1,2.9,2.8,2.5,2.7,42.9
,Joselu,FWD,NEW,5000000,1,22,2.4,4.8E-07,4.4E-06,0,301561,1,9,0,0,0,2,0,4.4,21037,0,0,22,0,0.3,0,1.3,3,0,1,0,0,4.2,372599,0,0,0,0,436,9627,0,0,74,Southampton,Watford,Bournemouth,Burnley,West Ham,2.4,1.7,1.9,2.2,2.2,2,1.2,2.9,3,1.5,2.3,1.9,2,2.1,1.3,1.9,1.8,1.7,2,2.6,2,1.9,2.2,1.2,2.3,1.7,2,1.3,3.3,35
Diogo,Jota,MID,WOL,6000000,1,21,2.3,3.83333333333333E-07,3.5E-06,0,277480,3,8,0,0,0,0,0,3.5,7370,-5,0,21,5,0.3,0,2,0,0,4,0,1,1.3,23613,0,0,0,0,711,384,0,0,57,Brighton,Tottenham,Arsenal,Huddersfield,Cardiff City,1.5,1.3,1.5,2,1.6,1.2,2.5,2,1.4,1.6,1.5,2,1.2,1.7,1.8,1.2,1.9,1.5,2.6,2,1.3,1.6,1.7,1.3,2.2,2.1,1.7,1.8,1.2,33.3
Christian,Kabasele,DEF,WAT,4500000,0,12,1.5,3.33333333333333E-07,2.66666666666667E-06,0,34869,0,12,0,0,0,0,0,2.7,1185,0,0,12,0,-0.2,0,-1,0,0,1,0,0,0.4,17575,0,0,0,0,661,408,0,1,70,Huddersfield,Newcastle,Southampton,Liverpool,Leicester,1.1,1.1,1,1.1,0.8,0.9,0.9,1.5,1,1,0.8,0.8,1.3,0.9,1.1,0.9,1.2,1.2,1,0.9,0.8,0.9,1.2,0.8,0.8,1.6,1.1,1.2,1.1,32.1
Younes,Kaboul,DEF,WAT,4300000,0,0,0,0,0,0,6685,0,0,0,0,0,0,0,0,236,-2,0,0,2,0,0,0,0,0,0,0,0,0.1,1082,0,0,0,0,0,71,0,0,0,Huddersfield,Newcastle,Southampton,Liverpool,Leicester,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Elias,Kachunga,FWD,HUD,4900000,0,4,0.444444444444444,9.0702947845805E-08,8.16326530612245E-07,0,4829,0,2,0,0,0,0,0,0.8,234,-1,0,4,1,0,0,0,0,0,0,0,0,0.1,2586,0,0,0,0,153,91,0,0,1,Watford,Fulham,West Ham,Wolverhampton,Brighton,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,3.3
