FirstName,Surname,PositionsList,Team,Cost,PointsLastRound,TotalPoints,AveragePoints,AveragePointsPerDollar,TotalPointsPerDollar,GameweekWeighting,TransfersOut,YellowCards,GoalsConceded,GoalsConcededPoints,Saves,SavesPoints,GoalsScored,GoalsScoredPoints,ValueSeason,TransfersOutRound,PriceRise,PriceFallRound,LastSeasonPoints,PriceFall,ValueForm,PenaltiesMissed,Form,Bonus,FanRating,CleanSheets,CleanSheetPoints,Assists,SelectedByPercent,TransfersIn,OwnGoals,EAIndex,PenaltiesSaved,DreamteamCount,MinutesPlayed,TransfersInRound,PriceRiseRound,RedCards,BPS,NextFixture1,NextFixture2,NextFixture3,NextFixture4,NextFixture5,GW29Forecast,GW30Forecast,GW31Forecast,GW32Forecast,GW33Forecast,GW34Forecast,GW35Forecast,GW36Forecast,GW37Forecast,GW38Forecast,ICTIndex
Harry,Arter,MID,CAR,4900000,0,40,1.8,3.6734693877551E-07,8.16326530612245E-06,0,13164,7,38,0,0,0,0,0,8.2,70,-1,0,40,1,0.2,0,1,0,0,5,0,0,0.2,3934,0,0,0,0,1757,28,0,0,194,Wolverhampton,West Ham,Chelsea,Man City,Burnley,1,1.2,0,1,0.9,1.1,0.9,1.1,1.2,0.9,47.2
Christian,Atsu,MID,NEW,5100000,0,35,1.8,3.52941176470588E-07,6.86274509803922E-06,0,10983,2,13,0,0,0,0,0,6.9,410,-4,0,35,4,0.4,0,1.8,0,0,5,0,0,0.1,5015,0,0,0,0,1178,70,0,0,110,West Ham,Everton,Bournemouth,Arsenal,Crystal Palace,1,1.1,0.9,0.9,1.1,1.2,1.4,1,0.9,1.2,60.5
Pierre-Emerick,Aubameyang,FWD,ARS,10900000,7,158,5.9,5.41284403669725E-07,1.44954128440367E-05,0,3140585,0,33,0,0,0,16,0,14.4,189668,-1,1,158,1,0.2,0,2.5,25,0,5,0,6,22.2,3330095,0,0,0,4,2085,15995,-1,0,573,Tottenham,Man Utd,Newcastle,Everton,Watford,6.1,8,0,8.1,6.2,6.4,7.4,7,8.9,6.6,210.9
Serge,Aurier,DEF,TOT,5800000,0,24,0.857142857142857,1.47783251231527E-07,4.13793103448276E-06,0,50468,1,9,0,0,0,0,0,4.1,163,-2,0,24,2,0.1,0,0.3,0,0,2,0,2,0.5,17811,0,0,0,0,562,93,0,0,116,Arsenal,Southampton,Liverpool,Brighton,Huddersfield,0.4,0.4,0,0.4,0.4,0.5,0.4,0.4,0.4,0.6,30.5
Charlie,Austin,FWD,SOU,5500000,2,37,1.9,3.45454545454545E-07,6.72727272727273E-06,0,111659,1,13,0,0,0,2,0,6.7,1379,-5,0,37,5,0.4,1,2,1,0,5,0,1,0.4,41898,0,0,0,0,840,815,0,0,100,Man Utd,Tottenham,Brighton,Liverpool,Wolverhampton,1.4,1.2,0,1.2,1.2,1.4,1.2,2,1.4,1.6,60
Jordan,Ayew,FWD,CRY,5700000,0,40,2.2,3.85964912280702E-07,7.01754385964912E-06,0,38496,3,12,0,0,0,1,0,7,469,-3,0,40,3,0.2,0,1.3,2,0,5,0,2,0.2,21089,0,0,0,0,1087,250,0,0,98,Burnley,Brighton,Huddersfield,Newcastle,Man City,2,2.1,0,1.7,1.8,1.5,1.7,1.7,1.9,2.3,66.8
Floyd,Ayite,MID,FUL,4300000,0,8,0.285714285714286,6.64451827242525E-08,1.86046511627907E-06,0,11866,0,4,0,0,0,0,0,1.9,66,-2,0,8,2,0.1,0,0.3,0,0,0,0,0,0.1,6247,0,0,0,0,163,43,0,0,20,Chelsea,Leicester,Liverpool,Man City,Watford,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,2.7
Cesar,Azpilicueta,DEF,CHE,6300000,12,110,4.1,6.50793650793651E-07,1.74603174603175E-05,0,634465,1,29,0,0,0,0,0,17.5,2878,-2,0,110,2,1.1,0,6.7,7,0,12,0,4,8.3,237838,0,0,0,1,2430,17232,0,0,596,Fulham,Wolverhampton,Everton,Cardiff City,West Ham,3.8,5.4,4.9,5,5,4.2,4.7,4.3,5.1,4.6,110.7
Ryan,Babel,MID,FUL,5500000,2,20,0.714285714285714,1.2987012987013E-07,3.63636363636364E-06,0,16881,2,13,0,0,0,1,0,3.6,4209,0,0,20,0,0.5,0,3,0,0,0,0,2,0.4,38706,0,0,0,0,487,878,0,0,72,Chelsea,Leicester,Liverpool,Man City,Watford,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,38.2
Juninho,Bacuna,MID,HUD,4200000,1,16,0.571428571428571,1.36054421768707E-07,3.80952380952381E-06,0,23075,2,18,0,0,0,0,0,3.8,1431,-3,0,16,3,0.4,0,1.8,0,0,0,0,0,0.4,35954,0,0,0,0,651,2015,0,0,87,Brighton,Bournemouth,West Ham,Crystal Palace,Leicester,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,28.4
