FirstName,Surname,PositionsList,Team,Cost,PointsLastRound,TotalPoints,AveragePoints,AveragePointsPerDollar,TotalPointsPerDollar,GameweekWeighting,TransfersOut,YellowCards,GoalsConceded,GoalsConcededPoints,Saves,SavesPoints,GoalsScored,GoalsScoredPoints,ValueSeason,TransfersOutRound,PriceRise,PriceFallRound,LastSeasonPoints,PriceFall,ValueForm,PenaltiesMissed,Form,Bonus,FanRating,CleanSheets,CleanSheetPoints,Assists,SelectedByPercent,TransfersIn,OwnGoals,EAIndex,PenaltiesSaved,DreamteamCount,MinutesPlayed,TransfersInRound,PriceRiseRound,RedCards,BPS,NextFixture1,NextFixture2,NextFixture3,NextFixture4,NextFixture5,GW25Forecast,GW26Forecast,GW27Forecast,GW28Forecast,GW29Forecast,GW30Forecast,GW31Forecast,GW32Forecast,GW33Forecast,GW34Forecast,GW35Forecast,GW36Forecast,GW37Forecast,GW38Forecast,ICTIndex
Danny,Ward,MID,CAR,4300000,0,18,0.75,1.74418604651163E-07,4.18604651162791E-06,0,43269,0,10,0,0,0,1,0,4.2,254,-2,0,18,2,0.1,0,0.3,0,0,0,0,0,0.2,35173,0,0,0,0,322,217,0,0,56,Bournemouth,Southampton,Watford,Everton,Wolverhampton,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,17.8
Danny,Ward,GLK,LEI,4300000,0,0,0,0,0,0,5709,0,0,0,0,0,0,0,0,50,-2,0,0,2,0,0,0,0,0,0,0,0,0.1,987,0,0,0,0,0,17,0,0,0,Man Utd,Tottenham,Crystal Palace,Brighton,Watford,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Joel,Ward,DEF,CRY,4300000,0,2,0.0833333333333333,1.93798449612403E-08,4.65116279069767E-07,0,18009,0,3,0,0,0,0,0,0.5,72,-2,0,2,2,0,0,0,0,0,0,0,0,0.2,3573,0,0,0,0,101,54,0,0,6,Fulham,West Ham,Leicester,Man Utd,Burnley,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.7
Stephen,Ward,DEF,BUR,4700000,0,7,0.291666666666667,6.20567375886525E-08,1.48936170212766E-06,0,114496,1,6,0,0,0,0,0,1.5,130,-3,0,7,3,0,0,0,0,0,1,0,0,0.5,11792,0,0,0,0,228,122,0,0,44,Southampton,Brighton,Tottenham,Newcastle,Crystal Palace,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,8.5
James,Ward-Prowse,MID,SOU,5000000,10,41,1.70833333333333,3.41666666666667E-07,8.2E-06,0,30867,1,18,0,0,0,3,0,8.2,4042,-5,0,41,5,1.9,0,9.7,8,0,1,0,0,1.6,95383,1,0,0,3,747,51829,0,0,176,Burnley,Cardiff City,Arsenal,Fulham,Man Utd,1,1.1,0.9,1.5,0.9,0.9,0.9,0.9,0.9,1.1,1.3,1.3,0.9,1.3,78.1
Danny,Welbeck,FWD,ARS,6400000,0,19,0.791666666666667,1.23697916666667E-07,2.96875E-06,0,49231,0,3,0,0,0,1,0,3,160,-1,0,19,1,0,0,0,3,0,0,0,1,0.5,29030,0,0,0,0,146,56,0,0,63,Man City,Huddersfield,Southampton,Bournemouth,Tottenham,0,0,0,0,0,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.5,0.4,19.5
Nahki,Wells,FWD,BUR,4500000,0,0,0,0,0,0,93143,0,0,0,0,0,0,0,0,282,0,0,0,0,0,0,0,0,0,0,0,0,0.9,13398,0,0,0,0,0,24,0,0,0,Southampton,Brighton,Tottenham,Newcastle,Crystal Palace,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ashley,Westwood,MID,BUR,4500000,5,64,3,6.66666666666667E-07,1.42222222222222E-05,0,197926,3,34,0,0,0,0,0,14.2,7153,0,0,64,0,0.7,0,3.3,5,0,5,0,6,2.8,322155,0,0,0,0,1651,24130,0,0,312,Southampton,Brighton,Tottenham,Newcastle,Crystal Palace,3.2,2.2,2,2.9,2.7,1.6,2.7,2.9,2,2.9,1.7,2.1,1.8,3.1,88.2
Ben,White,DEF,BHA,4000000,0,0,0,0,0,0,403,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,578,0,0,0,0,0,7,0,0,0,Watford,Burnley,Leicester,Huddersfield,Crystal Palace,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alfie,Whiteman,GLK,TOT,4000000,0,0,0,0,0,0,7027,0,0,0,0,0,0,0,0,200,0,0,0,0,0,0,0,0,0,0,0,0,0.2,11893,0,0,0,0,0,116,0,0,0,Newcastle,Leicester,Burnley,Chelsea,Arsenal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
