FirstName,Surname,PositionsList,Team,Cost,PointsLastRound,TotalPoints,AveragePoints,AveragePointsPerDollar,TotalPointsPerDollar,GameweekWeighting,TransfersOut,YellowCards,GoalsConceded,GoalsConcededPoints,Saves,SavesPoints,GoalsScored,GoalsScoredPoints,ValueSeason,TransfersOutRound,PriceRise,PriceFallRound,LastSeasonPoints,PriceFall,ValueForm,PenaltiesMissed,Form,Bonus,FanRating,CleanSheets,CleanSheetPoints,Assists,SelectedByPercent,TransfersIn,OwnGoals,EAIndex,PenaltiesSaved,DreamteamCount,MinutesPlayed,TransfersInRound,PriceRiseRound,RedCards,BPS,NextFixture1,NextFixture2,NextFixture3,NextFixture4,NextFixture5,GW22Forecast,GW23Forecast,GW24Forecast,GW25Forecast,GW26Forecast,GW27Forecast,GW28Forecast,GW29Forecast,GW30Forecast,GW31Forecast,GW32Forecast,GW33Forecast,GW34Forecast,GW35Forecast,GW36Forecast,GW37Forecast,GW38Forecast,ICTIndex
Marcos,Alonso,DEF,CHE,6700000,8,117,5.6,8.35820895522388E-07,1.74626865671642E-05,0,1056091,4,16,0,0,0,1,0,17.2,102525,2,1,117,-2,0.5,0,3.6,16,0,10,0,7,39.1,2062685,0,0,0,3,1877,31532,-1,0,486,Newcastle,Arsenal,Bournemouth,Huddersfield,Man City,6,5.2,5.8,7.2,6.9,8.1,6.6,6.5,7.2,7.1,7.4,6.4,7,7,7,7.1,7.4,101.1
Daniel,Amartey,MID,LEI,4300000,0,15,0.714285714285714,1.66112956810631E-07,3.48837209302326E-06,0,19358,2,9,0,0,0,0,0,3.5,350,-2,0,15,2,0,0,0,0,0,1,0,0,0.2,11028,0,0,0,0,639,107,0,0,103,Southampton,Wolverhampton,Liverpool,Man Utd,Tottenham,0,0,0,0,0,0,0,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,20.8
Luke,Amos,MID,TOT,4300000,0,1,0.0476190476190476,1.10741971207087E-08,2.32558139534884E-07,0,12706,0,0,0,0,0,0,0,0.2,657,-2,0,1,2,0,0,0,0,0,0,0,0,0.1,12689,0,0,0,0,2,516,0,0,3,Man Utd,Fulham,Watford,Newcastle,Leicester,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2
Ethan,Ampadu,MID,CHE,4400000,0,0,0,0,0,0,3544,0,0,0,0,0,0,0,0,93,-1,0,0,1,0,0,0,0,0,0,0,0,0,1774,0,0,0,0,0,89,0,0,0,Newcastle,Arsenal,Bournemouth,Huddersfield,Man City,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Florin,Andone,FWD,BHA,5000000,1,24,1.14285714285714,2.28571428571429E-07,4.8E-06,0,26623,1,6,0,0,0,2,0,4.8,3610,0,0,24,0,0.2,0,1.2,2,0,1,0,0,0.3,37755,0,0,0,0,444,1598,0,0,56,Liverpool,Man Utd,Fulham,Watford,Burnley,0.6,0.6,0.6,0.8,0.9,0.6,0.6,0.7,0.6,0.8,0.9,0.6,0.9,0.6,0.7,0.6,0.7,31.7
,Andre Gomes,MID,EVE,5400000,1,28,1.33333333333333,2.46913580246914E-07,5.18518518518519E-06,0,26892,3,17,0,0,0,0,0,5.2,1205,-1,0,28,1,0.3,0,1.4,0,0,3,0,1,0.2,14446,0,0,0,0,1059,644,0,0,135,Bournemouth,Southampton,Huddersfield,Wolverhampton,Watford,0.9,0.7,0.8,0.8,0.7,0.7,0.7,0.7,0.8,0.7,0.7,0.8,0.7,0.7,0.7,1,0.7,32.7
Michail,Antonio,MID,WHU,6800000,4,53,2.52380952380952,3.71148459383753E-07,7.79411764705882E-06,0,54541,2,16,0,0,0,2,0,7.8,1710,-2,0,53,2,0.6,0,4.4,2,0,3,0,4,0.8,17691,0,0,0,0,991,1290,0,0,146,Arsenal,Bournemouth,Wolverhampton,Liverpool,Crystal Palace,1.9,1.8,2.3,1.4,2.4,2.5,1.3,2.1,1.9,2.3,1.9,1.6,1.7,1.8,1.7,2.2,1.9,84.3
Stuart,Armstrong,MID,SOU,5100000,3,42,2.6,5.09803921568628E-07,8.23529411764706E-06,0,63536,2,18,0,0,0,3,0,8.2,8068,-4,0,42,4,0.3,0,1.6,2,0,2,0,0,0.5,73533,0,0,0,1,900,640,0,0,166,Leicester,Everton,Crystal Palace,Burnley,Cardiff City,0,2.2,2,2.1,2.1,1.7,2.8,1.6,1.5,1.9,1.8,1.7,2.2,2.7,2.4,2,2.6,65.4
Marko,Arnautovic,FWD,WHU,6900000,13,74,4.9,7.10144927536232E-07,1.07246376811594E-05,0,2278750,3,22,0,0,0,7,0,10.7,34784,-1,0,74,1,0.4,0,3,12,0,1,0,3,8.4,1654871,0,0,0,2,1170,113150,0,0,278,Arsenal,Bournemouth,Wolverhampton,Liverpool,Crystal Palace,6.5,6,5.8,4.8,6,6.8,5.4,5.4,6.1,5.7,6.2,5.4,6.7,5.1,5.7,6.2,6.2,125.9
Harry,Arter,MID,CAR,4900000,2,33,1.8,3.6734693877551E-07,6.73469387755102E-06,0,12097,5,31,0,0,0,0,0,6.7,266,-1,0,33,1,0.4,0,2,0,0,4,0,0,0.2,3511,0,0,0,0,1407,211,0,0,157,Huddersfield,Newcastle,Arsenal,Bournemouth,Southampton,1.5,1.5,0.9,1.4,1.2,1.1,1.2,1.2,1.1,0.9,0.9,0.9,1.1,0.9,1.1,1.1,0.9,38.3
