FirstName,Surname,PositionsList,Team,Cost,PointsLastRound,TotalPoints,AveragePoints,AveragePointsPerDollar,TotalPointsPerDollar,GameweekWeighting,TransfersOut,YellowCards,GoalsConceded,GoalsConcededPoints,Saves,SavesPoints,GoalsScored,GoalsScoredPoints,ValueSeason,TransfersOutRound,PriceRise,PriceFallRound,LastSeasonPoints,PriceFall,ValueForm,PenaltiesMissed,Form,Bonus,FanRating,CleanSheets,CleanSheetPoints,Assists,SelectedByPercent,TransfersIn,OwnGoals,EAIndex,PenaltiesSaved,DreamteamCount,MinutesPlayed,TransfersInRound,PriceRiseRound,RedCards,BPS,NextFixture1,NextFixture2,NextFixture3,NextFixture4,NextFixture5,GW13Forecast,GW14Forecast,GW15Forecast,GW16Forecast,GW17Forecast,GW18Forecast,GW19Forecast,GW20Forecast,GW21Forecast,GW22Forecast,GW23Forecast,GW24Forecast,GW25Forecast,GW26Forecast,GW27Forecast,GW28Forecast,GW29Forecast,GW30Forecast,GW31Forecast,GW32Forecast,GW33Forecast,GW34Forecast,GW35Forecast,GW36Forecast,GW37Forecast,GW38Forecast,ICTIndex
David,Button,GLK,BHA,4000000,0,0,0,0,0,0,32004,0,0,0,0,0,0,0,0,1687,0,0,0,0,0,0,0,0,0,0,0,0,1.7,29553,0,0,0,0,0,1088,0,0,0,Leicester,Huddersfield,Crystal Palace,Burnley,Chelsea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sam,Byram,DEF,WHU,4500000,0,0,0,0,0,0,2602,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,94,0,0,0,0,0,3,0,0,0,Man City,Newcastle,Cardiff City,Crystal Palace,Fulham,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Willy,Caballero,GLK,CHE,4700000,0,0,0,0,0,0,6544,0,0,0,0,0,0,0,0,126,-3,1,0,3,0,0,0,0,0,0,0,0,0.1,1261,0,0,0,0,0,38,-1,0,0,Tottenham,Fulham,Wolverhampton,Man City,Brighton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gary,Cahill,DEF,CHE,5100000,0,1,0.0833333333333333,1.63398692810458E-08,1.96078431372549E-07,0,49159,0,0,0,0,0,0,0,0.2,683,-4,0,1,4,0,0,0,0,0,0,0,0,0.6,4230,0,0,0,0,21,199,0,0,3,Tottenham,Fulham,Wolverhampton,Man City,Brighton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3
Tom,Cairney,MID,FUL,4800000,2,15,1.25,2.60416666666667E-07,3.125E-06,0,141963,0,12,0,0,0,0,0,3.1,1585,-2,0,15,2,0.4,0,1.7,0,0,0,0,1,0.6,18713,0,0,0,0,447,514,0,0,88,Southampton,Chelsea,Leicester,Man Utd,West Ham,0.9,0.6,0.6,0.6,0.7,0.8,0.7,0.9,0.6,0.6,0.6,1,0.9,0.6,0.6,0.7,0.6,0.6,0.6,0.6,0.6,0.7,0.6,0.8,0.6,0.8,24.8
Dominic,Calvert-Lewin,FWD,EVE,5300000,1,23,2.1,3.9622641509434E-07,4.33962264150943E-06,0,76313,1,6,0,0,0,2,0,4.3,3091,-2,0,23,2,0.2,0,1,2,0,0,0,0,0.8,43355,0,0,0,0,353,2906,0,0,73,Cardiff City,Liverpool,Newcastle,Watford,Man City,2.3,1,1.8,2,1,1.3,1.5,1,1.8,1.9,1.4,1.4,1.6,1.1,1.5,1.3,1.6,1.4,1.3,1.6,2.1,2.3,2.2,1.6,2.1,1.3,23.6
Victor,Camarasa,MID,CAR,4500000,2,32,2.9,6.44444444444444E-07,7.11111111111111E-06,0,41161,2,23,0,0,0,1,0,7.1,8766,0,0,32,0,0.4,0,2,2,0,2,0,1,1.7,126823,0,0,0,0,957,20250,0,0,124,Everton,Wolverhampton,West Ham,Southampton,Watford,1.5,2.9,2.1,3.4,1.9,2.3,3.3,2.1,2,3.3,2.8,1.9,2.8,2.6,2.9,2.8,2.2,2.8,1.8,1.7,1.4,2.3,2.3,2.2,2.9,1.9,57.6
Etienne,Capoue,MID,WAT,5100000,0,39,3.5,6.86274509803922E-07,7.64705882352941E-06,0,92771,5,13,0,0,0,1,0,7.6,11805,1,0,39,-1,0.5,0,2.3,8,0,3,0,2,1.4,154937,0,0,0,1,990,2918,0,0,182,Liverpool,Leicester,Man City,Everton,Cardiff City,3,2.9,2.5,2.2,3.9,2.9,2.3,4,2.7,4.3,3.8,3.1,2.6,3.6,2.7,2,3.4,1.8,4.3,2.7,4,3.4,3.7,3.8,2.4,3.6,37.9
,Carlos Sanchez,MID,WHU,4400000,0,7,0.583333333333333,1.32575757575758E-07,1.59090909090909E-06,0,16427,0,4,0,0,0,0,0,1.6,438,-1,0,7,1,0,0,0,0,0,0,0,0,0.2,6421,0,0,0,0,217,31,0,0,37,Man City,Newcastle,Cardiff City,Crystal Palace,Fulham,0,0,0,0,0,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,7.2
Guido,Carrillo,FWD,SOU,5500000,0,0,0,0,0,0,213,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,87,0,0,0,0,0,2,0,0,0,Fulham,Man Utd,Tottenham,Cardiff City,Arsenal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
