FirstName,Surname,PositionsList,Team,Cost,PointsLastRound,TotalPoints,AveragePoints,AveragePointsPerDollar,TotalPointsPerDollar,GameweekWeighting,TransfersOut,YellowCards,GoalsConceded,GoalsConcededPoints,Saves,SavesPoints,GoalsScored,GoalsScoredPoints,ValueSeason,TransfersOutRound,PriceRise,PriceFallRound,LastSeasonPoints,PriceFall,ValueForm,PenaltiesMissed,Form,Bonus,FanRating,CleanSheets,CleanSheetPoints,Assists,SelectedByPercent,TransfersIn,OwnGoals,EAIndex,PenaltiesSaved,DreamteamCount,MinutesPlayed,TransfersInRound,PriceRiseRound,RedCards,BPS,NextFixture1,NextFixture2,NextFixture3,NextFixture4,NextFixture5,GW21Forecast,GW22Forecast,GW23Forecast,GW24Forecast,GW25Forecast,GW26Forecast,GW27Forecast,GW28Forecast,GW29Forecast,GW30Forecast,GW31Forecast,GW32Forecast,GW33Forecast,GW34Forecast,GW35Forecast,GW36Forecast,GW37Forecast,GW38Forecast,ICTIndex
Collin,Quaner,FWD,HUD,4300000,0,2,0.1,2.32558139534884E-08,4.65116279069767E-07,0,305301,0,2,0,0,0,0,0,0.5,16807,-2,0,2,2,0.1,0,0.3,0,0,0,0,0,4.2,224070,0,0,0,0,37,30329,0,0,3,Burnley,Cardiff City,Man City,Everton,Chelsea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.6
Domingos,Quina,MID,WAT,4400000,1,14,0.7,1.59090909090909E-07,3.18181818181818E-06,0,7155,0,4,0,0,0,1,0,3.2,844,-1,0,14,1,0.5,0,2.3,2,0,0,0,0,0.1,8980,0,0,0,0,294,724,0,0,57,Bournemouth,Crystal Palace,Burnley,Tottenham,Brighton,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,12
Joe,Ralls,MID,CAR,4600000,0,23,1.15,2.5E-07,5E-06,0,23551,2,24,0,0,0,0,0,4.9,158,-4,1,23,4,0.2,1,0.7,0,0,3,0,0,0.1,8854,0,0,0,0,1091,45,-1,1,127,Tottenham,Huddersfield,Newcastle,Arsenal,Bournemouth,0.6,0.7,0.7,0.6,0.7,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,49
Kayne,Ramsay,DEF,SOU,4000000,1,1,0.05,1.25E-08,2.5E-07,0,314,0,3,0,0,0,0,0,0.3,225,0,0,1,0,0.1,0,0.3,0,0,0,0,0,0,1073,0,0,0,0,90,769,0,0,9,Chelsea,Leicester,Everton,Crystal Palace,Burnley,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1
Aaron,Ramsey,MID,ARS,7200000,2,50,2.5,3.47222222222222E-07,6.94444444444444E-06,0,194581,0,12,0,0,0,1,0,6.9,1568,-3,0,50,3,0.2,0,1.6,1,0,3,0,6,0.9,160240,0,0,0,0,768,2558,0,0,172,Fulham,West Ham,Chelsea,Cardiff City,Man City,2.8,1.7,1.5,2.2,1.2,2.2,2.5,2.5,1.4,1.8,1.9,2.4,1.2,1.6,2.1,1.8,2.9,1.8,75.1
Marcus,Rashford,FWD,MUN,7200000,11,67,3.9,5.41666666666667E-07,9.30555555555556E-06,0,750793,2,17,0,0,0,5,0,9.3,155371,2,0,67,-2,0.9,0,6.2,5,0,2,0,6,19,1223736,0,0,0,2,1080,118281,0,1,228,Newcastle,Tottenham,Brighton,Burnley,Leicester,0,3.8,5.3,5,4.1,4.6,3.5,4.1,5,4.2,4.2,4.5,3.7,4.6,3.6,3.6,4.3,4.7,109.8
Tim,Ream,DEF,FUL,4200000,7,20,1,2.38095238095238E-07,4.76190476190476E-06,0,19067,0,19,0,0,0,0,0,4.8,777,-3,0,20,3,0.6,0,2.6,3,0,2,0,0,0.1,4318,0,0,0,2,734,2479,0,0,127,Arsenal,Burnley,Tottenham,Brighton,Crystal Palace,0.5,0.5,0.5,0.8,0.5,0.6,0.5,0.5,0.7,0.5,0.6,0.6,0.5,0.9,0.5,1,0.5,0.5,13.2
Nathan,Redmond,MID,SOU,5200000,1,62,3.1,5.96153846153846E-07,1.19230769230769E-05,0,43000,0,34,0,0,0,2,0,11.9,6235,-3,0,62,3,1,0,5,3,0,4,0,2,0.7,55783,0,0,0,1,1708,7003,0,0,233,Chelsea,Leicester,Everton,Crystal Palace,Burnley,2,2.7,2.9,2.8,2.7,2.9,2.3,3.6,2.1,2,2.4,2.3,2.1,2.9,3.4,3.3,2.6,3.4,121.2
Bobby,Reid,FWD,CAR,5200000,4,44,2.9,5.57692307692308E-07,8.46153846153846E-06,0,80966,0,16,0,0,0,2,0,8.5,3484,-3,0,44,3,0.4,0,2,4,0,1,0,3,0.6,74113,0,0,0,1,754,4883,0,0,135,Tottenham,Huddersfield,Newcastle,Arsenal,Bournemouth,2.3,2.9,2.8,2.5,3.5,2.8,3,3.3,2.2,3.1,2.2,2.4,2.1,2.4,2.3,2.9,2.5,2.9,54.5
Winston,Reid,DEF,WHU,4400000,0,0,0,0,0,0,1100,0,0,0,0,0,0,0,0,20,-1,0,0,1,0,0,0,0,0,0,0,0,0,483,0,0,0,0,0,20,0,0,0,Brighton,Arsenal,Bournemouth,Wolverhampton,Liverpool,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
