FirstName,Surname,PositionsList,Team,Cost,PointsLastRound,TotalPoints,AveragePoints,AveragePointsPerDollar,TotalPointsPerDollar,GameweekWeighting,TransfersOut,YellowCards,GoalsConceded,GoalsConcededPoints,Saves,SavesPoints,GoalsScored,GoalsScoredPoints,ValueSeason,TransfersOutRound,PriceRise,PriceFallRound,LastSeasonPoints,PriceFall,ValueForm,PenaltiesMissed,Form,Bonus,FanRating,CleanSheets,CleanSheetPoints,Assists,SelectedByPercent,TransfersIn,OwnGoals,EAIndex,PenaltiesSaved,DreamteamCount,MinutesPlayed,TransfersInRound,PriceRiseRound,RedCards,BPS,NextFixture1,NextFixture2,NextFixture3,NextFixture4,NextFixture5,GW32Forecast,GW33Forecast,GW34Forecast,GW35Forecast,GW36Forecast,GW37Forecast,GW38Forecast,ICTIndex
Moussa,Sissoko,MID,TOT,4900000,0,61,2.5,5.10204081632653E-07,1.24489795918367E-05,0,38512,1,24,0,0,0,0,0,12.4,1248,-1,0,61,1,0.3,0,1.5,3,0,8,0,2,0.4,46826,0,0,0,0,1905,2469,0,0,319,Liverpool,Crystal Palace,Huddersfield,Man City,Brighton,3.1,0,2.4,3.6,2,1.8,1.8,75.8
Oliver,Skipp,MID,TOT,4500000,0,10,0.333333333333333,7.40740740740741E-08,2.22222222222222E-06,0,1256,0,1,0,0,0,0,0,2.2,42,0,0,10,0,0,0,0,0,0,2,0,0,0,1574,0,0,0,0,185,35,0,0,34,Liverpool,Crystal Palace,Huddersfield,Man City,Brighton,0.4,0,0.2,0.4,0.2,0.2,0.2,6.1
Callum,Slattery,MID,SOU,4500000,0,4,0.133333333333333,2.96296296296296E-08,8.88888888888889E-07,0,137,0,1,0,0,0,0,0,0.9,7,0,0,4,0,0,0,0,0,0,0,0,0,0,239,0,0,0,0,110,22,0,0,12,Brighton,Liverpool,Wolverhampton,Newcastle,Watford,0.1,0.1,0.1,0.2,0.1,0.1,0.1,4.2
Chris,Smalling,DEF,MUN,5600000,0,51,2.8,5E-07,9.10714285714286E-06,0,207185,1,24,0,0,0,1,0,9.1,1085,-4,0,51,4,0.2,0,1,3,0,4,0,0,1.5,94768,0,0,0,1,1587,6491,0,0,269,Watford,Wolverhampton,West Ham,Everton,Man City,5.5,0,2.7,5.6,3.4,3.1,3.4,52.1
Tommy,Smith,DEF,HUD,4400000,0,4,0.129032258064516,2.93255131964809E-08,9.09090909090909E-07,0,4759,2,23,0,0,0,0,0,0.9,34,-1,0,4,1,0,0,0,0,0,1,0,0,0.1,1175,0,0,0,0,646,38,0,1,82,Crystal Palace,Leicester,Tottenham,Watford,Liverpool,0.1,0.1,0.1,0.1,0.1,0.1,0.1,15.7
Alex,Smithies,GLK,CAR,4200000,0,0,0,0,0,0,6386,0,0,0,0,0,0,0,0,54,-3,0,0,3,0,0,0,0,0,0,0,0,0.1,2555,0,0,0,0,0,38,0,0,0,Chelsea,Man City,Burnley,Brighton,Liverpool,0,0,0,0,0,0,0,0
Emile,Smith-Rowe,MID,ARS,4500000,0,0,0,0,0,0,555,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,571,0,0,0,0,0,4,0,0,0,Newcastle,Everton,Watford,Crystal Palace,Wolverhampton,0,0,0,0,0,0,0,0
Robert,Snodgrass,MID,WHU,5000000,0,77,2.8,5.6E-07,1.54E-05,0,311473,8,27,0,0,0,2,0,15.4,28674,-5,0,77,5,0.5,0,2.7,9,0,4,0,5,1.5,392634,0,0,0,2,1842,1003,0,0,316,Everton,Chelsea,Man Utd,Leicester,Tottenham,2.4,1.4,1.8,2.4,1.7,2.9,1.9,151
Ramadan,Sobhi,MID,HUD,4700000,0,4,1,2.12765957446809E-07,8.51063829787234E-07,0,17215,0,2,0,0,0,0,0,0.9,13,-3,0,4,3,0,0,0,0,0,0,0,0,0.1,2302,0,0,0,0,75,1,0,0,13,Crystal Palace,Leicester,Tottenham,Watford,Liverpool,0,0,0,0,0,0,0,6.9
,Sokratis,DEF,ARS,5100000,0,48,2.4,4.70588235294118E-07,9.41176470588235E-06,0,136759,9,25,0,0,0,0,0,9.4,651,-4,0,48,4,0.7,0,3.5,3,0,4,0,2,1.1,52191,0,0,0,1,1748,2342,0,0,317,Newcastle,Everton,Watford,Crystal Palace,Wolverhampton,2.1,2.1,1.6,4,1.7,2.8,1.3,50.4
Dominic,Solanke,FWD,BOU,4700000,4,10,0.32258064516129,6.86341798215511E-08,2.12765957446809E-06,0,36782,0,4,0,0,0,0,0,2.1,2257,-3,0,10,3,0.4,0,1.7,0,0,0,0,1,0.5,39002,0,0,0,0,222,5517,0,0,36,Leicester,Burnley,Brighton,Fulham,Southampton,0.2,0.2,0.2,0.2,0.2,0.2,0.2,21.8
Heung-Min,Son,MID,TOT,8600000,0,139,5.8,6.74418604651163E-07,1.61627906976744E-05,0,2530784,2,19,0,0,0,11,0,16,132281,1,1,139,-1,0.2,0,1.5,15,0,8,0,7,14.9,2964326,0,0,0,5,1607,50826,-1,0,433,Liverpool,Crystal Palace,Huddersfield,Man City,Brighton,11.9,0,7.6,12.8,7.1,6.5,6.6,173.5
Alexander,S?rloth,FWD,CRY,4800000,0,12,1,2.08333333333333E-07,2.5E-06,0,22882,0,3,0,0,0,0,0,2.5,71,-2,0,12,2,0,0,0,0,0,0,0,0,0.1,12161,0,0,0,0,173,11,0,0,32,Huddersfield,Tottenham,Newcastle,Man City,Arsenal,0,0,0,0,0,0,0,11.3
Pape,Souare,DEF,CRY,4200000,0,1,0.0333333333333333,7.93650793650794E-09,2.38095238095238E-07,0,5726,0,0,0,0,0,0,0,0.2,27,-3,0,1,3,0,0,0,0,0,0,0,0,0.1,1193,0,0,0,0,1,57,0,0,3,Huddersfield,Tottenham,Newcastle,Man City,Arsenal,0,0,0,0,0,0,0,0.1
Caglar,Soyuncu,DEF,LEI,4900000,0,7,0.225806451612903,4.60829493087558E-08,1.42857142857143E-06,0,4085,1,3,0,0,0,0,0,1.4,31,-1,0,7,1,0,0,0,0,0,0,0,0,0,1103,0,0,0,0,281,37,0,0,37,Bournemouth,Huddersfield,Newcastle,West Ham,Arsenal,0.1,0.1,0.1,0.1,0.1,0.1,0.1,8.4
Julian,Speroni,GLK,CRY,3900000,0,1,0.0333333333333333,8.54700854700855E-09,2.56410256410256E-07,0,443485,0,4,0,5,0,0,0,0.3,12171,-1,0,1,1,0,0,0,0,0,0,0,0,11,308865,0,0,0,0,90,7213,0,0,16,Huddersfield,Tottenham,Newcastle,Man City,Arsenal,0,0,0,0,0,0,0,3.1
Junior,Stanislas,MID,BOU,6000000,0,47,1.51612903225806,2.52688172043011E-07,7.83333333333333E-06,0,13013,1,23,0,0,0,1,0,7.8,87,0,0,47,0,0,0,0,3,0,2,0,3,0.1,11435,0,0,0,0,957,18,0,0,176,Leicester,Burnley,Brighton,Fulham,Southampton,0,1.2,0.8,1.3,0.8,0.8,0.8,75.1
