FirstName,Surname,PositionsList,Team,Cost,PointsLastRound,TotalPoints,AveragePoints,AveragePointsPerDollar,TotalPointsPerDollar,GameweekWeighting,TransfersOut,YellowCards,GoalsConceded,GoalsConcededPoints,Saves,SavesPoints,GoalsScored,GoalsScoredPoints,ValueSeason,TransfersOutRound,PriceRise,PriceFallRound,LastSeasonPoints,PriceFall,ValueForm,PenaltiesMissed,Form,Bonus,FanRating,CleanSheets,CleanSheetPoints,Assists,SelectedByPercent,TransfersIn,OwnGoals,EAIndex,PenaltiesSaved,DreamteamCount,MinutesPlayed,TransfersInRound,PriceRiseRound,RedCards,BPS,NextFixture1,NextFixture2,NextFixture3,NextFixture4,NextFixture5,GW6Forecast,GW7Forecast,GW8Forecast,GW9Forecast,GW10Forecast,GW11Forecast,GW12Forecast,GW13Forecast,GW14Forecast,GW15Forecast,GW16Forecast,GW17Forecast,GW18Forecast,GW19Forecast,GW20Forecast,GW21Forecast,GW22Forecast,GW23Forecast,GW24Forecast,GW25Forecast,GW26Forecast,GW27Forecast,GW28Forecast,GW29Forecast,GW30Forecast,GW31Forecast,GW32Forecast,GW33Forecast,GW34Forecast,GW35Forecast,GW36Forecast,GW37Forecast,GW38Forecast,ICTIndex
Fraser,Forster,GLK,SOU,4400000,0,0,0,0,0,0,27936,0,0,0,0,0,0,0,0,2713,-1,0,0,1,0,0,0,0,0,0,0,0,0.9,2913,0,0,0,0,0,297,0,0,0,Liverpool,Wolverhampton,Chelsea,Bournemouth,Newcastle,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ben,Foster,GLK,WAT,4500000,2,14,2.8,6.22222222222222E-07,3.11111111111111E-06,0,78343,0,5,0,10,0,0,0,3.1,12463,0,0,14,0,0.4,0,2,0,0,1,0,0,4.6,68564,0,0,0,0,450,12248,0,0,78,Fulham,Arsenal,Bournemouth,Wolverhampton,Huddersfield,2.1,2.3,2.4,2.7,2.9,2.6,2.8,2.7,3,2.1,2.9,3.8,2.7,2.6,2.2,1.5,4.2,2.8,3.4,2.4,2.6,3.5,2.3,3.4,2.1,2,3.4,2.1,1.7,3.5,3,3,2,8.5
Timothy,Fosu-Mensah,DEF,FUL,4500000,0,3,1,2.22222222222222E-07,6.66666666666667E-07,0,19961,0,7,0,0,0,0,0,0.7,2465,0,0,3,0,0.2,0,0.7,0,0,0,0,0,0.6,6619,0,0,0,0,270,382,0,0,37,Watford,Everton,Arsenal,Cardiff City,Bournemouth,0.5,0.5,0.5,0.7,0.5,0.7,0.5,0.5,0.5,0.8,0.6,0.5,0.5,0.6,0.6,0.5,0.7,0.6,0.7,1,0.5,0.5,0.5,0.5,0.5,0.6,0.5,0.5,0.5,0.5,1,0.5,0.5,8.1
Simon,Francis,DEF,BOU,4400000,0,6,1.2,2.72727272727273E-07,1.36363636363636E-06,0,12012,0,4,0,0,0,0,0,1.4,1627,-1,0,6,1,0.1,0,0.3,0,0,0,0,1,0.4,4518,0,0,0,0,147,523,0,0,35,Burnley,Crystal Palace,Watford,Southampton,Fulham,0.7,0.6,0.6,0.6,0.6,0.7,0.6,0.6,0.6,1,0.9,0.6,1.1,0.6,0.7,0.6,0.6,0.6,0.9,0.7,0.6,1,0.6,0.7,0.7,0.7,0.6,1,0.6,0.7,0.6,0.9,1.1,8.6
Ryan,Fraser,MID,BOU,5800000,18,39,7.8,1.3448275862069E-06,6.72413793103448E-06,0,194531,0,7,0,0,0,3,0,6.8,21447,3,-2,39,-3,1.3,0,7.3,7,0,1,0,2,16.4,951561,0,0,0,1,450,610668,2,0,147,Burnley,Crystal Palace,Watford,Southampton,Fulham,9.2,9.5,8.7,10.8,8.3,10.4,8.9,10.6,6.6,11,10.4,8,11.7,8,10.1,11.1,8.4,11,9.2,7.8,5.6,11.7,9,10.4,9.2,11.2,7,11,7.3,11.7,9.5,10.2,11.7,46.3
,Fred,MID,MUN,5700000,0,6,2,3.50877192982456E-07,1.05263157894737E-06,0,182867,1,6,0,0,0,0,0,1,22492,-3,1,6,3,0.1,0,0.7,0,0,1,0,0,2.1,31114,0,0,0,0,255,1361,-1,0,27,Wolverhampton,West Ham,Newcastle,Chelsea,Everton,1.2,1.8,1.4,1.1,1,1.4,1.2,1,2.1,1,1.1,1,1.6,1.3,1.5,2.3,1.5,1.5,1.1,1.3,1.6,1,3,1,1.7,1,1,1.5,1,1.6,1,2.3,1.3,11.4
Ryan,Fredericks,DEF,WHU,4800000,0,1,0.3,6.25E-08,2.08333333333333E-07,0,19111,2,8,0,0,0,0,0,0.2,2178,-2,0,1,2,0.1,0,0.3,0,0,0,0,0,0.3,2108,0,0,0,0,270,53,0,0,21,Chelsea,Man Utd,Brighton,Tottenham,Leicester,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,9.1
Christian,Fuchs,DEF,LEI,4300000,0,0,0,0,0,0,23599,0,0,0,0,0,0,0,0,1885,-2,0,0,2,0,0,0,0,0,0,0,0,0.5,2355,0,0,0,0,0,286,0,0,0,Huddersfield,Newcastle,Everton,Arsenal,West Ham,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Manolo,Gabbiadini,FWD,SOU,5700000,1,3,0.6,1.05263157894737E-07,5.26315789473684E-07,0,12964,0,1,0,0,0,0,0,0.5,1118,-3,1,3,3,0.1,0,0.3,0,0,0,0,0,0.2,1829,0,0,0,0,50,199,-1,0,5,Liverpool,Wolverhampton,Chelsea,Bournemouth,Newcastle,0,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.6,0.3,0.5
Dwight,Gayle,FWD,NEW,6000000,0,0,0,0,0,0,7442,0,0,0,0,0,0,0,0,195,0,0,0,0,0,0,0,0,0,0,0,0,0.1,121,0,0,0,0,0,16,0,0,0,Crystal Palace,Leicester,Man Utd,Brighton,Southampton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
