FirstName,Surname,PositionsList,Team,Cost,PointsLastRound,TotalPoints,AveragePoints,AveragePointsPerDollar,TotalPointsPerDollar,GameweekWeighting,TransfersOut,YellowCards,GoalsConceded,GoalsConcededPoints,Saves,SavesPoints,GoalsScored,GoalsScoredPoints,ValueSeason,TransfersOutRound,PriceRise,PriceFallRound,LastSeasonPoints,PriceFall,ValueForm,PenaltiesMissed,Form,Bonus,FanRating,CleanSheets,CleanSheetPoints,Assists,SelectedByPercent,TransfersIn,OwnGoals,EAIndex,PenaltiesSaved,DreamteamCount,MinutesPlayed,TransfersInRound,PriceRiseRound,RedCards,BPS,NextFixture1,NextFixture2,NextFixture3,NextFixture4,NextFixture5,GW23Forecast,GW24Forecast,GW25Forecast,GW26Forecast,GW27Forecast,GW28Forecast,GW29Forecast,GW30Forecast,GW31Forecast,GW32Forecast,GW33Forecast,GW34Forecast,GW35Forecast,GW36Forecast,GW37Forecast,GW38Forecast,ICTIndex
,Cunningham,DEF,CAR,4200000,0,9,0.409090909090909,9.74025974025974E-08,2.14285714285714E-06,0,4267,3,17,0,0,0,0,0,2.1,177,-3,0,9,3,0.3,0,1.2,0,0,1,0,0,0.1,1407,0,0,0,0,630,47,0,0,72,Newcastle,Arsenal,Bournemouth,Southampton,Watford,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,19.6
Pontus,Dahlberg,GLK,WAT,4400000,0,0,0,0,0,0,2139,0,0,0,0,0,0,0,0,57,-1,0,0,1,0,0,0,0,0,0,0,0,0.1,578,0,0,0,0,0,25,0,0,0,Burnley,Tottenham,Brighton,Everton,Cardiff City,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Dalot,DEF,MUN,5300000,1,5,0.227272727272727,4.28816466552316E-08,9.43396226415094E-07,0,12572,2,4,0,0,0,0,0,0.9,763,-2,0,5,2,0.1,0,0.4,0,0,0,0,0,0.1,13085,0,0,0,0,302,181,0,0,40,Brighton,Burnley,Leicester,Fulham,Liverpool,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,14.3
Loic,Damour,MID,CAR,4300000,0,2,0.0909090909090909,2.11416490486258E-08,4.65116279069767E-07,0,4723,0,2,0,0,0,0,0,0.5,188,-2,0,2,2,0,0,0,0,0,0,0,0,0.1,3438,0,0,0,0,21,172,0,0,6,Newcastle,Arsenal,Bournemouth,Southampton,Watford,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9
Charlie,Daniels,DEF,BOU,4200000,0,27,1.9,4.52380952380952E-07,6.42857142857143E-06,0,730064,2,28,0,0,0,0,0,6.4,9202,-3,0,27,3,0.3,0,1.4,0,0,3,0,0,3.8,85254,0,0,0,0,1222,1364,0,0,205,West Ham,Chelsea,Cardiff City,Liverpool,Wolverhampton,1.5,2,1.8,1.1,1.9,1,1.7,1.7,1.3,1.3,1.7,1,1.8,1,1.5,1.5,50.8
,Danilo,DEF,MCI,5100000,6,12,0.545454545454545,1.06951871657754E-07,2.35294117647059E-06,0,47250,1,5,0,0,0,0,0,2.4,1820,-4,0,12,4,0.4,0,2,0,0,1,0,0,0.5,13688,0,0,0,0,450,6913,0,0,74,Huddersfield,Newcastle,Arsenal,Chelsea,Everton,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.3,0.3,0.3,0.3,0.3,20.8
Scott,Dann,DEF,CRY,4400000,0,0,0,0,0,0,993,0,0,0,0,0,0,0,0,30,-1,0,0,1,0,0,0,0,0,0,0,0,0,680,0,0,0,0,0,24,0,0,0,Liverpool,Southampton,Fulham,West Ham,Leicester,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Karl,Darlow,GLK,NEW,4400000,0,0,0,0,0,0,2993,0,0,0,0,0,0,0,0,89,-1,0,0,1,0,0,0,0,0,0,0,0,0.1,516,0,0,0,0,0,23,0,0,0,Cardiff City,Man City,Tottenham,Wolverhampton,Huddersfield,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Matteo,Darmian,DEF,MUN,4600000,0,12,0.545454545454545,1.18577075098814E-07,2.60869565217391E-06,0,28733,0,6,0,0,0,0,0,2.6,372,-4,0,12,4,0,0,0,2,0,1,0,0,0.2,10236,0,0,0,0,360,116,0,0,66,Brighton,Burnley,Leicester,Fulham,Liverpool,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,11.9
,David Luiz,DEF,CHE,5900000,8,105,5,8.47457627118644E-07,1.77966101694915E-05,0,439380,1,15,0,0,0,1,0,17.8,51505,4,0,105,-4,1,0,6,15,0,10,0,2,13.4,938017,0,0,0,2,1890,86731,0,0,491,Arsenal,Bournemouth,Huddersfield,Man City,Brighton,4.3,4.9,6.4,5.7,6.8,5.6,5.6,6.5,6.3,6.6,5.6,6,6.1,6,6.1,6.5,95.5
,David Silva,MID,MCI,8500000,3,88,4.9,5.76470588235294E-07,1.03529411764706E-05,0,1105408,1,9,0,0,0,6,0,10.4,18568,0,0,88,0,0.4,0,3.2,11,0,8,0,2,4.5,1048761,0,0,0,2,1309,34482,0,0,375,Huddersfield,Newcastle,Arsenal,Chelsea,Everton,6.1,6.3,6.1,4.4,4,5.4,4.6,5.5,4.3,5.3,5.8,5.8,4.3,5.1,5.5,4.8,178.3
Ben,Davies,DEF,TOT,5600000,2,43,2.5,4.46428571428571E-07,7.67857142857143E-06,0,409233,2,18,0,0,0,0,0,7.7,5363,-4,0,43,4,0.1,0,0.8,4,0,4,0,0,2.1,88372,0,0,0,0,1265,2734,0,0,234,Fulham,Watford,Newcastle,Leicester,Burnley,2.1,2,1.6,1.8,2,3.1,1.6,2.2,2,2.3,2.4,2.5,2.1,1.8,1.8,2.9,56.3
Tom,Davies,MID,EVE,5100000,0,15,0.681818181818182,1.33689839572193E-07,2.94117647058824E-06,0,11400,2,13,0,0,0,0,0,2.9,155,-4,0,15,4,0.1,0,0.6,0,0,1,0,0,0.1,3652,0,0,0,0,605,86,0,0,82,Southampton,Huddersfield,Wolverhampton,Watford,Man City,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,16.3
Steven,Davis,MID,SOU,4600000,0,9,3,6.52173913043478E-07,1.95652173913043E-06,0,7802,0,4,0,0,0,0,0,2,270,-4,0,9,4,0,0,0,2,0,0,0,1,0.1,2094,0,0,0,0,97,2,0,0,39,Everton,Crystal Palace,Burnley,Cardiff City,Arsenal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.2
Kevin,De Bruyne,MID,MCI,9700000,4,17,0.772727272727273,7.96626054358013E-08,1.75257731958763E-06,0,1420120,1,1,0,0,0,1,0,1.8,9680,-3,0,17,3,0.3,0,2.8,2,0,0,0,1,4,290010,0,0,0,0,221,24725,0,0,77,Huddersfield,Newcastle,Arsenal,Chelsea,Everton,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,24.7
David,De Gea,GLK,MUN,5700000,12,74,3.4,5.96491228070175E-07,1.29824561403509E-05,0,996591,0,32,0,81,0,0,0,13,11171,-3,0,74,3,0.9,0,5,4,0,4,0,0,15.4,214027,0,0,0,1,1980,64088,0,0,395,Brighton,Burnley,Leicester,Fulham,Liverpool,4.1,3.5,3.7,3.1,3.7,4.2,3.2,2.3,3.5,3.5,4.1,3.2,4,4.2,4.4,4.6,56.7
