FirstName,Surname,PositionsList,Team,Cost,PointsLastRound,TotalPoints,AveragePoints,AveragePointsPerDollar,TotalPointsPerDollar,GameweekWeighting,TransfersOut,YellowCards,GoalsConceded,GoalsConcededPoints,Saves,SavesPoints,GoalsScored,GoalsScoredPoints,ValueSeason,TransfersOutRound,PriceRise,PriceFallRound,LastSeasonPoints,PriceFall,ValueForm,PenaltiesMissed,Form,Bonus,FanRating,CleanSheets,CleanSheetPoints,Assists,SelectedByPercent,TransfersIn,OwnGoals,EAIndex,PenaltiesSaved,DreamteamCount,MinutesPlayed,TransfersInRound,PriceRiseRound,RedCards,BPS,NextFixture1,NextFixture2,NextFixture3,NextFixture4,NextFixture5,GW18Forecast,GW19Forecast,GW20Forecast,GW21Forecast,GW22Forecast,GW23Forecast,GW24Forecast,GW25Forecast,GW26Forecast,GW27Forecast,GW28Forecast,GW29Forecast,GW30Forecast,GW31Forecast,GW32Forecast,GW33Forecast,GW34Forecast,GW35Forecast,GW36Forecast,GW37Forecast,GW38Forecast,ICTIndex
,Bruno,DEF,BHA,4400000,0,31,1.82352941176471,4.14438502673797E-07,7.04545454545455E-06,0,36926,2,6,0,0,0,0,0,7,2105,-1,0,31,1,0.2,0,0.8,4,0,3,0,1,0.6,49443,0,0,0,1,619,175,0,0,132,Bournemouth,Arsenal,Everton,West Ham,Liverpool,0.9,1.2,2.4,1,1.7,1,0.9,1.7,1.6,1.2,1,2.2,1.2,2.5,1.5,1.2,1.3,1.1,1.2,0.9,1.6,18.4
Joe,Bryan,DEF,FUL,4800000,1,7,0.411764705882353,8.57843137254902E-08,1.45833333333333E-06,0,8675,0,15,0,0,0,0,0,1.5,59,-2,0,7,2,0.1,0,0.4,0,0,0,0,0,0.1,2294,0,0,0,0,508,71,0,0,81,Newcastle,Wolverhampton,Huddersfield,Arsenal,Burnley,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.2,0.2,21.4
David,Button,GLK,BHA,4000000,0,0,0,0,0,0,36219,0,0,0,0,0,0,0,0,844,0,0,0,0,0,0,0,0,0,0,0,0,1.7,36649,0,0,0,0,0,1622,0,0,0,Bournemouth,Arsenal,Everton,West Ham,Liverpool,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sam,Byram,DEF,WHU,4500000,0,0,0,0,0,0,2664,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,102,0,0,0,0,0,0,0,0,0,Watford,Southampton,Burnley,Brighton,Arsenal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Willy,Caballero,GLK,CHE,4700000,0,0,0,0,0,0,6980,0,0,0,0,0,0,0,0,84,-3,0,0,3,0,0,0,0,0,0,0,0,0.1,1455,0,0,0,0,0,51,0,0,0,Leicester,Watford,Crystal Palace,Southampton,Newcastle,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gary,Cahill,DEF,CHE,5100000,0,1,0.0588235294117647,1.15340253748558E-08,1.96078431372549E-07,0,51608,0,0,0,0,0,0,0,0.2,638,-4,0,1,4,0,0,0,0,0,0,0,0,0.6,4738,0,0,0,0,21,27,0,0,3,Leicester,Watford,Crystal Palace,Southampton,Newcastle,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3
Tom,Cairney,MID,FUL,4700000,2,23,1.9,4.04255319148936E-07,4.8936170212766E-06,0,147723,0,21,0,0,0,0,0,4.9,1083,-3,0,23,3,0.3,0,1.6,0,0,0,0,1,0.5,21300,0,0,0,0,792,418,0,0,147,Newcastle,Wolverhampton,Huddersfield,Arsenal,Burnley,1.6,1.5,1.6,1,1.1,1,1.8,1.2,1.2,1.1,1.2,1,1.1,1,1,1,1.5,1,1.6,1.1,1.5,44.3
Dominic,Calvert-Lewin,FWD,EVE,5300000,5,31,2.1,3.9622641509434E-07,5.84905660377358E-06,0,87120,2,10,0,0,0,3,0,5.8,1387,-2,0,31,2,0.3,0,1.6,2,0,0,0,0,0.7,49857,0,0,0,0,480,2819,0,0,104,Tottenham,Burnley,Brighton,Leicester,Bournemouth,1.5,1.3,1.1,2,2.2,1.3,1.3,1.7,1.2,1.8,1.2,1.6,1.5,1.6,1.5,2.2,2,2.3,1.2,2.3,1.1,35.8
Rafael,Camacho,MID,LIV,5000000,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,18,0,0,0,Wolverhampton,Newcastle,Arsenal,Man City,Brighton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Victor,Camarasa,MID,CAR,4600000,5,45,2.8,6.08695652173913E-07,9.78260869565217E-06,0,74992,3,31,0,0,0,1,0,9.8,5788,1,0,45,-1,0.6,0,2.6,2,0,3,0,2,1.7,161453,0,0,0,0,1401,7658,0,0,180,Man Utd,Crystal Palace,Leicester,Tottenham,Huddersfield,2.4,2.1,1.8,2,3.1,2.7,1.6,2.9,2.1,2.7,2.9,1.9,2.3,1.7,2,1.4,1.9,2.1,2,2.7,1.6,86.7
Etienne,Capoue,MID,WAT,4900000,0,40,3.1,6.3265306122449E-07,8.16326530612245E-06,0,146705,5,18,0,0,0,1,0,8.2,2234,-1,0,40,1,0,0,0.2,8,0,3,0,2,0.6,159365,0,0,0,1,1169,558,0,1,202,West Ham,Chelsea,Newcastle,Bournemouth,Crystal Palace,2.5,2.2,3.2,2.5,2.8,3.4,2.2,2.3,3.2,2.1,1.7,2.9,1.6,3.6,2.2,3.5,2.9,3.2,3.1,1.7,2.5,42.1
,Carlos Sanchez,MID,WHU,4400000,0,7,0.411764705882353,9.35828877005348E-08,1.59090909090909E-06,0,17534,0,4,0,0,0,0,0,1.6,176,-1,0,7,1,0,0,0,0,0,0,0,0,0.2,6485,0,0,0,0,217,16,0,0,37,Watford,Southampton,Burnley,Brighton,Arsenal,0,0,0,0,0,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,7.2
Guido,Carrillo,FWD,SOU,5500000,0,0,0,0,0,0,236,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,97,0,0,0,0,0,1,0,0,0,Huddersfield,West Ham,Man City,Chelsea,Leicester,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Andy,Carroll,FWD,WHU,5400000,1,3,0.176470588235294,3.26797385620915E-08,5.55555555555556E-07,0,4436,0,2,0,0,0,0,0,0.6,991,-1,0,3,1,0.1,0,0.6,0,0,0,0,0,0.1,5871,0,0,0,0,88,395,0,0,9,Watford,Southampton,Burnley,Brighton,Arsenal,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,4.5
