FirstName,Surname,PositionsList,Team,Cost,PointsLastRound,TotalPoints,AveragePoints,AveragePointsPerDollar,TotalPointsPerDollar,GameweekWeighting,TransfersOut,YellowCards,GoalsConceded,GoalsConcededPoints,Saves,SavesPoints,GoalsScored,GoalsScoredPoints,ValueSeason,TransfersOutRound,PriceRise,PriceFallRound,LastSeasonPoints,PriceFall,ValueForm,PenaltiesMissed,Form,Bonus,FanRating,CleanSheets,CleanSheetPoints,Assists,SelectedByPercent,TransfersIn,OwnGoals,EAIndex,PenaltiesSaved,DreamteamCount,MinutesPlayed,TransfersInRound,PriceRiseRound,RedCards,BPS,NextFixture1,NextFixture2,NextFixture3,NextFixture4,NextFixture5,GW36Forecast,GW37Forecast,GW38Forecast,ICTIndex
Andros,Townsend,MID,CRY,5700000,1,114,3.3,5.78947368421053E-07,2E-05,0,446525,1,42,0,0,0,4,0,20,8699,-3,0,114,3,0.4,0,2,5,0,11,0,4,3,487495,0,0,0,1,2816,2421,0,0,439,Everton,Cardiff City,Bournemouth,,,2.8,3,3.2,200
Adama,Traore,MID,WOL,5100000,2,43,1.22857142857143,2.40896358543417E-07,8.43137254901961E-06,0,68831,1,12,0,0,0,1,0,8.4,123,-4,0,43,4,0.2,0,1,2,0,1,0,1,0.3,42962,0,0,0,0,874,79,0,0,179,Watford,Fulham,Liverpool,,,0.6,0.8,0.6,75.8
Kieran,Trippier,DEF,TOT,6000000,9,116,4.5,7.5E-07,1.93333333333333E-05,0,2386432,2,22,0,0,0,1,0,19.3,22963,0,0,116,0,0.6,0,3.4,16,0,10,0,5,16.2,1867578,1,0,0,3,2185,17934,0,0,565,West Ham,Bournemouth,Everton,,,5.8,3.9,6.5,152.6
Joe,Tupper,GLK,CRY,4000000,0,0,0,0,0,0,809,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,1441,0,0,0,0,0,63,0,0,0,Everton,Cardiff City,Bournemouth,,,0,0,0,0
Antonio,Valencia,DEF,MUN,6400000,0,16,3.2,5E-07,2.5E-06,0,61113,2,5,0,0,0,0,0,2.5,132,-1,0,16,1,0,0,0,1,0,2,0,0,0.7,26666,0,0,0,0,450,24,0,0,90,Chelsea,Huddersfield,Cardiff City,,,0,0,0,16.2
Yan,Valery,DEF,SOU,4100000,1,47,1.34285714285714,3.27526132404181E-07,1.14634146341463E-05,0,77720,3,23,0,0,0,2,0,11.5,7621,1,0,47,-1,0.5,0,2,0,0,3,0,0,3.6,303651,0,0,0,1,1439,5019,0,1,215,Bournemouth,West Ham,Huddersfield,,,0.8,0.7,1,49.3
Patrick,van Aanholt,DEF,CRY,5500000,0,126,3.7,6.72727272727273E-07,2.29090909090909E-05,0,478685,3,43,0,0,0,2,0,22.9,9065,0,0,126,0,0.8,0,4.6,16,0,11,0,2,5.4,487089,0,0,0,3,3016,14711,0,0,573,Everton,Cardiff City,Bournemouth,,,5,4.9,3.4,149.7
Virgil,van Dijk,DEF,LIV,6700000,7,188,5.4,8.05970149253731E-07,2.80597014925373E-05,0,1132194,1,20,0,0,0,3,0,28.5,7362,7,-1,188,-7,0.9,0,5.8,21,0,18,0,4,31.1,1747447,0,0,0,4,3114,49747,1,0,851,Huddersfield,Newcastle,Wolverhampton,,,7.5,5.6,7.7,144.1
Rajiv,van La Parra,MID,HUD,4600000,0,10,2,4.34782608695652E-07,2.17391304347826E-06,0,4026,0,6,0,0,0,0,0,2.2,6,-4,0,10,4,0,0,0,0,0,1,0,0,0,1107,0,0,0,0,405,0,0,0,13,Liverpool,Man Utd,Southampton,,,0,0,0,12.6
Jamie,Vardy,FWD,LEI,9000000,9,157,5.1,5.66666666666667E-07,1.74444444444444E-05,0,1550083,3,35,0,0,0,16,0,17.4,41919,0,0,157,0,0.9,1,8.3,28,0,9,0,5,9.7,1737086,0,0,0,3,2456,40886,0,1,532,Arsenal,Man City,Chelsea,,,6.8,5.5,6,215
Jan,Vertonghen,DEF,TOT,5900000,8,67,3,5.08474576271186E-07,1.13559322033898E-05,0,566586,3,23,0,0,0,1,0,11.4,2405,-1,0,67,1,0.7,0,4,7,0,6,0,0,4.5,257120,0,0,0,0,1911,7389,0,1,390,West Ham,Bournemouth,Everton,,,3.3,2,4.1,72.7
Jannik,Vestergaard,DEF,SOU,4600000,0,50,2.2,4.78260869565217E-07,1.08695652173913E-05,0,35067,2,31,0,0,0,0,0,10.9,912,-4,0,50,4,0.1,0,0.6,0,0,4,0,0,0.3,15171,0,0,0,0,2027,26,0,0,396,Bournemouth,West Ham,Huddersfield,,,0,0,0,75.9
Luciano,Vietto,FWD,FUL,5300000,0,47,2.4,4.52830188679245E-07,8.86792452830189E-06,0,98457,1,21,0,0,0,1,0,8.9,251,-2,0,47,2,0,0,0,4,0,1,0,4,0.4,85495,0,0,0,1,980,132,0,0,171,Cardiff City,Wolverhampton,Newcastle,,,2.5,1.5,2.3,85.6
,Vinagre,DEF,WOL,4300000,1,22,0.628571428571429,1.46179401993355E-07,5.11627906976744E-06,0,12730,1,9,0,0,0,0,0,5.1,73,-2,0,22,2,0.1,0,0.6,0,0,1,0,0,0.1,8992,0,0,0,0,696,58,0,0,112,Watford,Fulham,Liverpool,,,0.3,0.3,0.3,29.8
Nikola,Vlasic,MID,EVE,5000000,0,0,0,0,0,0,1511,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,109,0,0,0,0,0,1,0,0,0,Crystal Palace,Burnley,Tottenham,,,0,0,0,0
Sam,Vokes,FWD,BUR,5300000,0,48,2.4,4.52830188679245E-07,9.0566037735849E-06,0,222428,0,20,0,0,0,3,0,9.1,287,-2,0,48,2,0,0,0,7,0,2,0,0,0.6,187082,0,0,0,0,907,3,0,0,130,Man City,Everton,Arsenal,,,0,0,0,54.3
Michel,Vorm,GLK,TOT,4700000,0,5,0.142857142857143,3.03951367781155E-08,1.06382978723404E-06,0,10816,0,4,0,9,0,0,0,1.1,26,-3,0,5,3,0,0,0,1,0,0,0,0,0.1,7478,0,0,0,0,180,33,0,0,36,West Ham,Bournemouth,Everton,,,0.1,0.1,0.1,6.6
Matej,Vydra,FWD,BUR,5600000,0,19,0.542857142857143,9.69387755102041E-08,3.39285714285714E-06,0,9924,1,7,0,0,0,1,0,3.4,36,-4,0,19,4,0,0,0,0,0,0,0,1,0,4138,0,0,0,0,274,27,0,0,55,Man City,Everton,Arsenal,,,0.3,0.3,0.3,21.2
