FirstName,Surname,PositionsList,Team,Cost,PointsLastRound,TotalPoints,AveragePoints,AveragePointsPerDollar,TotalPointsPerDollar,GameweekWeighting,TransfersOut,YellowCards,GoalsConceded,GoalsConcededPoints,Saves,SavesPoints,GoalsScored,GoalsScoredPoints,ValueSeason,TransfersOutRound,PriceRise,PriceFallRound,LastSeasonPoints,PriceFall,ValueForm,PenaltiesMissed,Form,Bonus,FanRating,CleanSheets,CleanSheetPoints,Assists,SelectedByPercent,TransfersIn,OwnGoals,EAIndex,PenaltiesSaved,DreamteamCount,MinutesPlayed,TransfersInRound,PriceRiseRound,RedCards,BPS,NextFixture1,NextFixture2,NextFixture3,NextFixture4,NextFixture5,GW34Forecast,GW35Forecast,GW36Forecast,GW37Forecast,GW38Forecast,ICTIndex
Jonjo,Shelvey,MID,NEW,5300000,1,26,0.787878787878788,1.48656375071469E-07,4.90566037735849E-06,0,57720,1,13,0,0,0,0,0,4.9,78,-2,0,26,2,0.1,0,0.7,0,0,3,0,1,0.3,14879,0,0,0,0,780,38,0,0,125,Leicester,Southampton,Brighton,Liverpool,Fulham,0.4,0.4,0.4,0.4,0.4,62.5
Gylfi,Sigurdsson,MID,EVE,7400000,3,155,4.7,6.35135135135135E-07,2.09459459459459E-05,0,1151494,3,37,0,0,0,12,0,21.2,32961,-1,-1,155,1,0.7,3,5,17,0,12,0,4,8,1476356,0,0,0,2,2694,49413,1,0,568,Fulham,Man Utd,Crystal Palace,Burnley,Tottenham,5,4.7,5.3,6.1,3.9,272.9
,Silva,MID,LEI,4700000,0,3,1.5,3.19148936170213E-07,6.38297872340426E-07,0,12825,0,1,0,0,0,0,0,0.6,26,-3,0,3,3,0,0,0,0,0,0,0,0,0.2,4081,0,0,0,0,87,3,0,0,16,Newcastle,West Ham,Arsenal,Man City,Chelsea,0,0,0,0,0,2.1
Danny,Simpson,DEF,LEI,4200000,0,11,0.333333333333333,7.93650793650794E-08,2.61904761904762E-06,0,19631,0,4,0,0,0,0,0,2.6,140,-3,0,11,3,0,0,0,0,0,1,0,0,0.2,7824,0,0,0,0,275,75,0,0,47,Newcastle,West Ham,Arsenal,Man City,Chelsea,0.2,0.2,0.2,0.2,0.2,8.8
Jack,Simpson,DEF,BOU,3900000,0,2,0.0606060606060606,1.55400155400155E-08,5.12820512820513E-07,0,291732,0,1,0,0,0,0,0,0.5,8056,-1,0,2,1,0,0,0,0,0,0,0,0,6.2,303620,0,0,0,0,82,1165,0,0,13,Brighton,Fulham,Southampton,Tottenham,Crystal Palace,0,0,0,0,0,1.9
Joshua,Sims,MID,SOU,4400000,1,3,0.09375,2.13068181818182E-08,6.81818181818182E-07,0,4467,0,2,0,0,0,0,0,0.7,42,-1,0,3,1,0.2,0,1,0,0,0,0,0,0,1177,0,0,0,0,74,37,0,0,9,Wolverhampton,Newcastle,Watford,Bournemouth,West Ham,0,0,0,0,0,4.1
Jerome,Sinclair,FWD,WAT,4400000,0,0,0,0,0,0,48085,0,0,0,0,0,0,0,0,1186,-1,0,0,1,0,0,0,0,0,0,0,0,0.4,56479,0,0,0,0,0,750,0,0,0,Arsenal,Huddersfield,Southampton,Wolverhampton,Chelsea,0,0,0,0,0,0
Moussa,Sissoko,MID,TOT,4900000,0,66,2.5,5.10204081632653E-07,1.3469387755102E-05,0,41126,1,26,0,0,0,0,0,13.5,1122,-1,0,66,1,0.5,0,2.5,3,0,9,0,2,0.3,49622,0,0,0,0,2085,1948,0,0,349,Huddersfield,Man City,Brighton,West Ham,Bournemouth,2.5,3.6,2.1,1.8,1.9,81.2
Oliver,Skipp,MID,TOT,4500000,0,10,0.3125,6.94444444444444E-08,2.22222222222222E-06,0,1308,0,1,0,0,0,0,0,2.2,31,0,0,10,0,0,0,0,0,0,2,0,0,0,1607,0,0,0,0,185,21,0,0,34,Huddersfield,Man City,Brighton,West Ham,Bournemouth,0.2,0.4,0.2,0.2,0.2,6.1
Callum,Slattery,MID,SOU,4500000,0,4,0.125,2.77777777777778E-08,8.88888888888889E-07,0,163,0,1,0,0,0,0,0,0.9,11,0,0,4,0,0,0,0,0,0,0,0,0,0,264,0,0,0,0,110,13,0,0,12,Wolverhampton,Newcastle,Watford,Bournemouth,West Ham,0.1,0.2,0.1,0.1,0.1,4.2
Chris,Smalling,DEF,MUN,5600000,0,52,2.6,4.64285714285714E-07,9.28571428571429E-06,0,211249,1,27,0,0,0,1,0,9.3,1384,-4,0,52,4,0.1,0,0.5,3,0,4,0,0,1.4,100056,1,0,0,1,1767,4234,0,0,284,West Ham,Everton,Man City,Chelsea,Huddersfield,2.5,5.1,3.2,2.8,3.2,57.9
Tommy,Smith,DEF,HUD,4400000,0,5,0.151515151515152,3.4435261707989E-08,1.13636363636364E-06,0,4789,2,29,0,0,0,0,0,1.1,21,-1,0,5,1,0.1,0,0.3,0,0,1,0,0,0.1,1204,0,0,0,0,826,16,0,1,103,Tottenham,Watford,Liverpool,Man Utd,Southampton,0.1,0.1,0.1,0.1,0.1,20.4
Alex,Smithies,GLK,CAR,4200000,0,0,0,0,0,0,6500,0,0,0,0,0,0,0,0,64,-3,0,0,3,0,0,0,0,0,0,0,0,0.1,2609,0,0,0,0,0,32,0,0,0,Burnley,Brighton,Liverpool,Fulham,Crystal Palace,0,0,0,0,0,0
Emile,Smith-Rowe,MID,ARS,4500000,0,0,0,0,0,0,559,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,576,0,0,0,0,0,2,0,0,0,Watford,Crystal Palace,Wolverhampton,Leicester,Brighton,0,0,0,0,0,0
Robert,Snodgrass,MID,WHU,5000000,1,80,2.7,5.4E-07,1.6E-05,0,338498,8,30,0,0,0,2,0,16,17087,-5,0,80,5,0.2,0,1,9,0,4,0,5,1.2,393647,0,0,0,2,1977,222,0,0,335,Man Utd,Leicester,Tottenham,Southampton,Watford,1.7,2.3,1.6,2.6,1.7,158.3
Ramadan,Sobhi,MID,HUD,4700000,0,4,1,2.12765957446809E-07,8.51063829787234E-07,0,17241,0,2,0,0,0,0,0,0.9,15,-3,0,4,3,0,0,0,0,0,0,0,0,0.1,2303,0,0,0,0,75,0,0,0,13,Tottenham,Watford,Liverpool,Man Utd,Southampton,0,0,0,0,0,6.9
,Sokratis,DEF,ARS,5100000,1,55,2.5,4.90196078431373E-07,1.07843137254902E-05,0,143498,10,26,0,0,0,0,0,10.8,5993,-4,0,55,4,0.7,0,3.5,3,0,5,0,2,1.2,61602,0,0,0,1,1928,1303,0,0,359,Watford,Crystal Palace,Wolverhampton,Leicester,Brighton,0,4.2,1.7,3,1.3,58.2
